PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE
N201505146405,3,1,0,0,1221 14TH AV,1736061,CONSTRUCTION,2016-06-14
N201506189331,2,1,0,0,1225 ATHENS ST,6447040,BP ISSUED,2015-12-14
N201510260810,299,299,0,0,1208 JUNIPERO SERRA BL,7326001,BP FILED,2015-10-26
N201511021410,2,1,0,0,123 YUKON ST,2716037,BP FILED,2015-11-02
N201506249835,2,1,0,0,2082 BANCROFT AV,5403035,CONSTRUCTION,2015-11-05
N201206253387,2,1,0,0,4546 19TH ST,2700012,CONSTRUCTION,2016-03-25
N201510230640,248,248,0,0,455 SERRANO DR,7335001,BP FILED,2015-10-23
N201506259894,10,1,0,0,460 14TH ST,3533021,BP FILED,2015-06-25
N201408295126,2,1,0,0,1267 NOE ST,6553024,CONSTRUCTION,2016-04-21
N201104113839,2,1,0,0,1322 47TH AV,1801040,BP ISSUED,2014-05-07
N201505085803,3,1,0,0,1333 42ND AV,1797006,CONSTRUCTION,2016-09-14
N201604185001,2,1,0,0,1369 29TH AV,1784001O,BP FILED,2016-04-18
N201309197251,2,1,0,0,1433 48TH AV,1805006,CONSTRUCTION,2016-09-16
N200502115374,13,7,0,0,1448 PINE ST,0645028,BP FILED,2016-08-01
N201302150317,3,3,0,0,1470 MCALLISTER ST,0776035,CONSTRUCTION,2016-06-15
N201502249184,3,1,0,0,1594 GOLDEN GATE AV,0753010,CONSTRUCTION,2016-04-08
N201501307147,3,1,0,0,1767 BEACH ST,0443A017,BP FILED,2015-01-30
N200609253193,1,1,0,0,191 BREWSTER ST,5577011,CONSTRUCTION,2016-06-24
N201409307715,2,1,0,0,1822 22ND AV,2058009J,CONSTRUCTION,2016-06-20
N200609253191,3,3,0,0,195 BREWSTER ST,5577009,CONSTRUCTION,2016-06-10
N201604296201,18,3,0,0,1888 GOLDEN GATE AVE,1152019,BP FILED,2016-04-29
N201501135623,2,1,0,0,189 COUNTRY CLUB DR,7277044,BP ISSUED,2016-01-28
N201601217581,8,2,0,0,1912 MISSION ST,3554003,BP FILED,2016-01-21
N200609253192,1,1,0,0,193 BREWSTER ST,5577010,CONSTRUCTION,2016-06-24
N201511132572,64,64,0,0,199 VIDAL DR,7308001,BP FILED,2015-11-13
N201310219817,2,1,0,0,22 ORD CT,2619067,BP ISSUED,2016-05-31
N201503090303,2,1,0,0,2219 31ST AV,2318005,CONSTRUCTION,2016-09-27
N201504284774,2,1,0,0,224 NUEVA AV,5081002,BP FILED,2015-04-28
N201510169995,1,1,0,0,234 TERESITA BL,2959007,BP FILED,2015-10-16
N201401297354,21,21,0,0,2353 - 2347 LOMBARD ST,0512026,CONSTRUCTION,2016-04-28
N201602260675,2,1,0,0,238 BEVERLY ST,6998033,BP FILED,2016-02-26
N201310038371,3,1,0,0,238 MISSOURI ST,4003006,CONSTRUCTION,2016-04-26
N201412224319,2,1,0,0,2433 SANTIAGO ST,2364047,BP FILED,2014-12-22
N201504103368,2,1,0,0,25 JOSIAH AV,7050031,BP FILED,2015-04-10
N201408123622,12,3,0,0,25 ELGIN PARK ST,3502111,BP FILED,2014-08-12
N201503160933,1,1,0,0,255 28TH ST,6614035,BP FILED,2015-03-16
N201305167075,8,8,0,0,259 CLARA ST,3753042,CONSTRUCTION,2016-04-22
N201211093966,84,84,0,0,2655 BUSH ST,1052024,CONSTRUCTION,2016-09-26
N201303041387,4,4,0,0,270 CAPITOL AV,7113022,CONSTRUCTION,2016-05-02
N201401166475,91,91,0,0,2700 ARELIOUS WALKER DR,4884027,CONSTRUCTION,2016-09-27
N201504234413,2,2,0,0,2785 SAN BRUNO AV,5450018,BP FILED,2015-04-23
N201410249901,5,2,0,0,3215 SCOTT ST,0936020,CONSTRUCTION,2015-10-08
N201506098540,2,1,0,0,2955 20TH AV,7204004,BP ISSUED,2015-11-16
N201506249813,2,1,0,0,306 ARLETA AV,6233003,BP ISSUED,2016-06-24
N201510230639,89,89,0,0,300 ARBALLO DR,7308001,BP FILED,2015-10-23
N201412053178,3,1,0,0,322 COLERIDGE ST,5673003,CONSTRUCTION,2016-06-10
N201003248891,3,2,0,0,3249 17TH ST,3575063,CONSTRUCTION,2016-05-04
N201511233310,2,1,0,0,325 ARLINGTON ST,6693006,BP ISSUED,2016-07-12
N201412224267,1,1,0,0,3252 19TH ST,3591025,BP FILED,2014-12-22
N201501135624,2,1,0,0,330 COUNTRY CLUB DR,7272043,BP ISSUED,2016-01-28
N201503039806,2,1,0,0,3303 FOLSOM ST,5524044,CONSTRUCTION,2016-08-29
N201408063130,2,1,0,0,336 HANOVER ST,6489035,BP ISSUED,2016-09-01
N201602099198,4,0,0,0,3378 SACRAMENTO ST,1008047,CONSTRUCTION,2016-09-08
N201501276733,2,1,0,0,34 COUNTRY CLUB DR,7279041,BP ISSUED,2016-07-13
N201412304716,2,1,0,0,350 15TH AV,1446038,CONSTRUCTION,2016-09-30
N201311202405,75,75,11,11,346 POTRERO AV,3962008,CONSTRUCTION,2016-09-29
N201312164322,2,2,0,0,3516 FOLSOM ST,5626013,BP FILED,2013-12-16
N201312265046,129,129,0,0,360 BERRY ST,8704004,CONSTRUCTION,2016-08-22
N201607142327,24,24,0,0,3620 CESAR CHAVEZ ST,6568032,PL FILED,2015-11-25
N201602129550,13,13,0,0,400 BAY ST,0030003,PL APPROVED,2015-09-18
N201502047488,2,1,0,0,4025 BALBOA ST,1603049,BP FILED,2015-02-04
N201401176600,2,1,0,0,413 SHRADER ST,1227003,CONSTRUCTION,2016-09-22
N201503100426,2,1,0,0,437 HOFFMAN AV,6503024,BP FILED,2015-03-10
N201412083275,2,1,0,0,4400 25TH ST,6504017,CONSTRUCTION,2016-08-18
N201605278673,9,3,0,0,462 22ND AVE,1523031,BP FILED,2016-05-27
N201407171522,2,1,0,0,466 VERNON ST,6994039,CONSTRUCTION,2016-07-19
N201507222207,2,1,0,0,49 NAGLEE AV,7098001,CONSTRUCTION,2016-08-05
N201510270912,63,63,0,0,490 JAMESTOWN AV (BLDG 2),5000001,BP FILED,2015-10-27
N201510270913,71,71,0,0,490 JAMESTOWN AV (BLDG 3),5000001,BP FILED,2015-10-27
N201510270914,81,81,0,0,490 JAMESTOWN AV (BLDG 4),5000001,BP FILED,2015-10-27
N201510270915,58,58,0,0,490 JAMESTOWN AV (BLDG 5),5000001,BP FILED,2015-10-27
N201510270916,55,55,0,0,490 JAMESTOWN AV (BLDG 6),5000001,BP FILED,2015-10-27
N201609208248,174,174,0,0,5 THOMAS MELLON CIRCLE,4991075,BP FILED,2016-09-20
N201609208258,133,133,0,0,5 THOMAS MELLON CIRCLE,4991075,BP FILED,2016-09-20
N201609208257,113,113,0,0,5 THOMAS MELLON CIRCLE,4991075,BP FILED,2016-09-20
N201609208247,90,90,0,0,5 THOMAS MELLON CIRCLE,4991075,BP FILED,2016-09-20
N201609208256,76,76,0,0,5 THOMAS MELLON CIRCLE,4991075,BP FILED,2016-09-20
N201412194158,2,2,0,0,531 33RD AV,1511005,BP FILED,2014-12-19
N201411040625,2,1,0,0,508 GARFIELD ST,6994020,BP FILED,2014-11-04
N201602058989,2,1,0,0,512 16TH AV,1558042,BP FILED,2016-02-05
N201511092111,313,313,0,0,55 CHUMASERO DR,7330001,BP FILED,2015-11-09
N201602189869,12,12,0,0,550 INDIANA ST,3998021,BP FILED,2016-02-18
N201410068159,2,1,0,0,601 29TH ST,7537001,CONSTRUCTION,2016-08-03
N201512185544,3,1,0,0,658 ELIZABETH ST,2804017,CONSTRUCTION,2016-09-01
N201503050103,9,9,0,0,645 - 647 VALENCIA ST,3576062,BP FILED,2015-03-05
N201305217457,12,12,1,1,690 PAGE ST,0843016,CONSTRUCTION,2016-05-23
N201601147159,2,1,0,0,715 COMMERCIAL ST,0226026,BP ISSUED,2016-05-26
N201405296933,6,2,0,0,716 CLEMENTINA ST,3729042,CONSTRUCTION,2016-06-24
N201401317585,1,1,0,0,74 BLAKE ST,1068004,CONSTRUCTION,2015-07-08
N201505227052,2,1,0,0,851 46TH AV,1689013,BP FILED,2015-05-22
N201408012759,2,1,0,0,88 LE CONTE CR,4991264,BP FILED,2014-08-01
N200007124940,2,1,0,0,886 DE HARO ST,4095015,BP FILED,2016-09-23
N201501216187,2,1,0,0,963 ALABAMA ST,4146025,BP FILED,2015-01-21
N201503029757,2,1,0,0,972 RUTLAND ST,6304014,BP FILED,2015-03-02
N201211284953,28,28,11,11,ONE CAPITOL AV,7148040,CONSTRUCTION,2016-07-01
N201112070227,470,470,0,0,POTRERO1010 (BLDG 1 OF 2),3833001,CONSTRUCTION,2016-05-26
N201306250394,560,560,0,0,1 HENRY ADAMS ST,3911001,CONSTRUCTION,2016-04-07
N200705221925,4,3,0,0,101 LELAND AV,6250036,CONSTRUCTION,2016-01-21
N200705010119,2,2,0,0,1036 MISSISSIPPI ST,4224018,BP APPROVED,2009-12-01
N201308295550,3,1,0,0,1087 MISSISSIPPI ST,4224049,BP REINSTATED,2015-10-01
N201409116118,202,202,0,0,1095 MARKET ST,3703059,CONSTRUCTION,2016-07-28
N201601278140,2,1,0,0,1125 HAMPSHIRE ST,4211021,BP FILED,2016-01-27
N201509086400,2,1,0,0,1145 BACON ST,6038036,BP APPROVED,2016-03-09
N201307252822,3,1,0,0,1150 SOUTH VAN NESS AV,3637010,BP APPROVED,2014-05-20
