PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE
N201503201418,9,6,0,0,271 UPPER TR,2628032,BP FILED,2015-03-20
N201307151829,2,2,0,0,579 39TH AV,1505014,BP FILED,2013-07-15
N201410280026,2,1,0,0,1167 PALOU AV,4757047,BP FILED,2014-10-28
N201412314770,6,6,0,0,3945 JUDAH ST,1809028,BP FILED,2014-12-31
N201411121318,7,7,0,0,726 PRESIDIO AV,1055013,BP FILED,2014-11-12
N201410108600,3,3,0,0,44 WOODWARD ST,3532048,BP FILED,2014-10-10
N201412113579,3,3,0,0,835 SOUTH VAN NESS AV,3594023,BP FILED,2014-12-11
N201412234418,603,603,0,0,245 01ST ST,3737012,BP FILED,2014-12-23
N201503110506,545,545,0,0,500 FOLSOM ST,3736120,BP FILED,2015-03-11
N201012317718,2,2,0,0,2006 KEITH ST,5386001,BP FILED,2010-12-31
N201410108662,9,9,0,0,2889 JENNINGS ST,4913011,BP FILED,2014-10-10
N201403170944,20,20,0,0,449 14th street,3546026,BP FILED,2014-03-17
N201404304554,418,418,0,0,57 TEHAMA ST,3736078A,BP FILED,2014-04-30
N201312174382,351,351,0,0,1979 MISSION ST,3553052,BP FILED,2013-12-17
N201312184508,260,260,0,0,1634-1690 PINE ST,647007,PL FILED,2012-07-17
N201410038023,1,1,0,0,410 HEARST AV,3116006A,BP FILED,2014-10-03
N201409116118,202,202,0,0,1095 MARKET ST,3703059,BP FILED,2014-09-11
N201407181635,1,1,0,0,647 DUNCAN ST,6604038,BP FILED,2014-07-18
N201311202410,115,115,0,0,923 FOLSOM STREET,3753106,BP ISSUED,2015-05-12
N201311222657,110,110,0,0,1554 MARKET ST,836007,BP FILED,2013-11-22
N201306210213,109,109,0,0,2171 THIRD ST,4045003,BP FILED,2013-06-21
N201306270692,85,85,0,0,101 HYDE ST,346003A,BP FILED,2013-06-27
N201503160933,1,1,0,0,255 28TH ST,6614035,BP FILED,2015-03-16
N201410108646,6,6,0,0,949 NATOMA ST,3510028,BP FILED,2014-10-10
N201501145724,11,11,0,0,576 HUDSON AV,4591C032,BP FILED,2015-01-14
N201301238536,78,78,0,0,620 SUTTER ST,283004A,BP FILED,2013-01-23
N201410229565,2,2,0,0,162 GRAND VIEW AV,2754052,BP FILED,2014-10-22
N201412163796,47,47,0,0,1 EARL ST,4591D131,BP FILED,2014-12-16
N201305026020,3,3,0,0,1100 POTRERO AV,4211001,BP FILED,2013-05-02
N201412194144,81,24,0,0,690 MARKET ST,311016,BP FILED,2014-12-19
N201502198775,35,35,0,0,1278 - 1298 VALENCIA ST,3644021,BP FILED,2015-02-19
N201412294587,34,34,0,0,980 FOLSOM ST,3732028,BP FILED,2014-12-29
N200703307666,3,3,0,0,42 LEESE ST,5719023,BP FILED,2007-03-30
N201408053094,28,28,0,0,198 VALENCIA ST,3502108,BP FILED,2014-08-05
N201501075157,3,1,0,0,3336 BRODERICK ST,927024,BP FILED,2015-01-07
N201501145720,21,21,0,0,47 KIRKWOOD AV,4591C143,BP FILED,2015-01-14
N201403100361,20,20,0,0,1335 LARKIN ST,645003,PL FILED,2014-07-23
N201412113580,18,18,0,0,89 KIRKWOOD AV,4591C165,BP FILED,2014-12-11
N201305217457,12,12,0,0,690 PAGE ST,843016,BP FILED,2013-05-21
N201405307085,15,15,0,0,1532 HOWARD ST,3511015,BP FILED,2014-05-30
N201412194135,31,10,0,0,10 INNES CT,4591C078,BP FILED,2014-12-19
N201501145725,10,10,0,0,536 HUDSON AV,4591C020,BP FILED,2015-01-14
N201405276744,8,8,0,0,1458 BROADWAY,572013,BP FILED,2014-05-27
N201306199977,9,9,0,0,131 MISSOURI ST,3985024,BP FILED,2013-06-19
N201502138349,6,6,0,0,854 CAPP ST,3642041,BP FILED,2015-02-13
N201412163783,5,5,0,0,888 NORTH POINT ST,25024,BP FILED,2014-12-16
N201412053170,29,8,0,0,10 KENNEDY PL,4591C073,BP FILED,2014-12-05
N201503171144,1,1,0,0,2405 32ND AV,2393002,BP FILED,2015-03-17
N201405085278,9,9,0,0,2420 03RD ST,4108003,BP FILED,2014-05-08
N201412053180,36,8,0,0,52 INNES CT,4591C082,BP FILED,2014-12-05
N201210313210,9,9,0,0,1469 PACIFIC AV,185029,PL FILED,2013-07-10
N201409106031,9,8,0,0,1532 OCEAN AV,3196028,BP FILED,2014-09-10
N201412053181,36,8,0,0,51 INNES CT,4591C092,BP FILED,2014-12-05
N201206203038,7,7,0,0,2255 TARAVAL ST,2393040,PL FILED,2013-08-13
N201404223881,14,14,0,0,1463 LOMBARD ST,503021,BP FILED,2014-04-22
N201402198846,10,6,0,0,3324 19TH ST,3590014,BP FILED,2014-02-19
N200809262781,6,6,0,0,700 36TH AV,1609021,BP FILED,2008-09-26
N201501145723,6,6,0,0,598 HUDSON AV,4591C039,BP FILED,2015-01-14
N200808290369,6,6,0,0,1415 OCEAN AV,6941063,BP FILED,2008-08-29
N200908185077,5,4,0,0,598 BELVEDERE ST,1279048,BP FILED,2009-08-18
N201404254156,5,5,0,0,590 LELAND AVE,6243019,BP FILED,2014-04-25
N201501085203,9,5,0,0,657 CAPP ST,3615047,BP FILED,2015-01-08
N201402219037,5,5,0,0,3822 24TH ST,3651018,BP FILED,2014-02-21
N201310088785,5,5,0,0,34 LANGTON ST,3730096,BP FILED,2013-10-08
N201410169154,5,5,0,0,4171 24TH ST,6506032,BP FILED,2014-10-16
N201501135624,2,1,0,0,330 COUNTRY CLUB DR,7272043,BP FILED,2015-01-13
N201405206278,10,4,0,0,2782 FOLSOM ST,3641010C,BP FILED,2014-05-20
N200806134390,3,3,0,0,3201 BALBOA ST,1611001,BP FILED,2008-06-13
N201408214436,4,4,0,0,1126 IRVING ST,1738021,BP FILED,2014-08-21
N201407302554,4,4,0,0,930 BAKER ST,1118003,BP FILED,2014-07-30
N201410310450,4,4,0,0,5617 GEARY BL,1524039,BP FILED,2014-10-31
N200806063801,4,4,0,0,48 HARRIET ST,3731102,BP FILED,2008-06-06
N201208076803,4,4,0,0,127 BUCHANAN ST,869007,BP FILED,2012-08-07
N201409237117,4,4,0,0,1656 POST ST,686040,BP FILED,2014-09-23
N201405216382,4,4,0,0,965 POWHATTAN AV,5640010,BP FILED,2014-05-21
N201407181625,4,4,0,0,315 SOUTH VAN NESS AV,3549041,BP FILED,2014-07-18
N201303051501,6,4,0,0,2500 CLEMENT ST,1407017,BP FILED,2013-03-05
N200706154066,1,1,0,0,2395 DIAMOND ST,7551033,BP FILED,2007-06-15
N200712190876,1,1,0,0,538 VALLEY ST,6611014,BP FILED,2007-12-19
N201312174396,1,1,0,0,3040 24TH ST,3640079,BP FILED,2013-12-17
N201407070583,1,1,0,0,1455 11TH AV,1842011,BP FILED,2014-07-07
N201402259241,2,1,0,0,259 ROOSEVELT WY,2614048,BP FILED,2014-02-25
N200609253194,1,1,0,0,29 JOY ST,5577013,BP FILED,2006-09-25
N201102180558,1,1,0,0,2138 FOLSOM ST,3574008,BP FILED,2011-02-18
N201106289066,1,1,0,0,354 MULLEN AV,5535006,BP FILED,2011-06-28
N201403170852,3,1,0,0,787 TREAT AV,3612017A,BP FILED,2014-03-17
N201111158893,3,1,0,0,3436 SCOTT ST,465A022,BP FILED,2011-11-15
N201412194158,2,2,0,0,531 33RD AV,1511005,BP FILED,2014-12-19
N201408123622,12,3,0,0,25 ELGIN PARK ST,3502111,BP FILED,2014-08-12
N201111189212,3,3,0,0,2175 HAYES ST,1212022,BP FILED,2011-11-18
N200808139077,6,3,0,0,3927 19TH ST,3601071,BP FILED,2008-08-13
N201207114624,4,3,0,0,2830 24TH ST,4209017,BP FILED,2012-07-11
N201310310847,3,3,0,0,777 VALENCIA ST,3589108,BP FILED,2013-10-31
N201311212547,5,3,0,0,1239 17TH ST,3985027,BP FILED,2013-11-21
N200602094307,2,2,0,0,1090 CHURCH ST,3628014,BP FILED,2006-02-09
N200612139805,3,3,0,0,4411 CABRILLO ST,1688001A,BP FILED,2006-12-13
N201503130811,3,3,0,0,974 GENEVA AV,6411034,BP FILED,2015-03-13
N201312043354,24,3,0,0,885 FRANKLIN ST,744020,BP FILED,2013-12-04
N201409055492,3,3,0,0,6044 GEARY BLVD,1456023,BP FILED,2014-09-05
N201407090811,3,3,0,0,2815 POLK ST,478003,BP FILED,2014-07-09
N201201242770,2,2,0,0,520 CARTER ST,6428001,BP FILED,2012-01-24
N200804038738,3,2,0,0,1321 DE HARO ST,4218036,PL APPROVED,2009-07-16
N201412184051,2,2,0,0,460 31ST AV,1462031,BP FILED,2014-12-18
N201404173443,3,2,0,0,2621 HARRISON ST,4148027,BP FILED,2014-04-17
N201503201461,2,2,0,0,2920 FRANKLIN ST,498020,BP FILED,2015-03-20
N201306149612,2,2,0,0,80 BLAKE ST,1068003,BP FILED,2013-06-14
N200803288288,2,2,0,0,1169 STANYAN ST,2630018,BP ISSUED,2013-09-25
N201112301504,2,2,0,0,534 TEXAS ST,4101004,BP FILED,2011-12-30
N201502188620,8,2,0,0,3312 17TH ST,3569017,BP FILED,2015-02-18
N201411262632,3,2,0,0,151 BERNARD ST,156015A,BP FILED,2014-11-26
N201312164322,2,2,0,0,3516 Folsom St,5626013,BP FILED,2013-12-16
N201411181835,3,2,0,0,2806 VAN NESS AV,499004,BP FILED,2014-11-18
N201410249901,5,2,0,0,3215 SCOTT ST,936020,BP FILED,2014-10-24
N201308285446,2,2,0,0,153 ARKANSAS ST,3983014,BP FILED,2013-08-28
N201405206229,4,2,0,0,4024 24TH ST,3656010,BP FILED,2014-05-20
N201408133730,2,2,0,0,160 BERNARD ST,156036,BP FILED,2014-08-13
N201407221872,2,2,0,0,3198 MARKET ST,2659052,BP FILED,2014-07-22
N201309066225,4,2,0,0,2429 CHESTNUT ST,935024,BP FILED,2013-09-06
N201502249220,3,2,0,0,1152 POTRERO AV,4211011,BP FILED,2015-02-24
N201405075174,2,2,0,0,201 MISSOURI ST,4002024,BP FILED,2014-05-07
N201405236581,3,2,0,0,1236 ARGUELLO BLVD,1265019,BP FILED,2014-05-23
N201402078043,3,2,0,0,1236 19TH AV,1732037,BP FILED,2014-02-07
N201412194190,1,1,0,0,127 23RD AV,1383004,BP FILED,2014-12-19
N201407020334,2,2,0,0,931 KANSAS ST,4094046,BP FILED,2014-07-02
N201405296933,6,2,0,0,716 CLEMENTINA ST,3729042,BP FILED,2014-05-29
N201407090780,2,2,0,0,1513 YORK ST,5513011,BP FILED,2014-07-09
N201407302522,2,2,0,0,3123 FOLSOM ST,5503018,BP FILED,2014-07-30
N201402047760,2,2,0,0,8 RONDEL PL,3569052,BP FILED,2014-02-04
N201302140247,2,2,0,0,1750 OAKDALE AV,5312014,BP FILED,2013-02-14
N201403181032,2,2,0,0,2506 MCALLISTER ST,1144020,BP FILED,2014-03-18
N201302119939,2,2,0,0,1914 20TH ST,4071014,PL FILED,2013-10-25
N201407020335,2,2,0,0,929 KANSAS ST,4094047,BP FILED,2014-07-02
N201101208700,4,2,0,0,3808 MISSION ST,6692002,BP FILED,2011-01-20
N201503201416,2,2,0,0,301 UPPER TR,2628035,BP FILED,2015-03-20
N201405155866,3,2,0,0,423 24TH AV,1456003,BP FILED,2014-05-15
N201407020336,9,9,0,0,925 KANSAS ST,4094048,BP FILED,2014-07-02
