PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE
N201207124717,656,656,0,0,201 FOLSOM ST,3746001,CONSTRUCTION,2015-03-30
N201308093997,722,2,0,0,515 JOHN MUIR DR,7282005,CONSTRUCTION,2014-10-21
N201412234418,603,603,0,0,245 01ST ST,3737012,BP FILED,2014-12-23
N201306250394,560,560,0,0,1 HENRY ADAMS ST,3911001,CONSTRUCTION,2015-03-24
N201309045886,557,557,0,0,801 BRANNAN ST,3783001,BP ISSUED,2014-09-26
N201304023626,479,479,0,0,280 BEALE ST,3738004,CONSTRUCTION,2015-03-25
N201112070227,470,470,0,0,1000 16TH ST,3833001,CONSTRUCTION,2012-09-07
N200605161774,452,452,0,0,399 FREMONT ST,3747320,CONSTRUCTION,2015-03-26
N201404304554,418,418,0,0,57 TEHAMA ST,3736078A,BP FILED,2014-04-30
N201307303137,416,416,0,0,350 08TH ST,3756003,CONSTRUCTION,2015-03-17
N201208026344,399,399,0,0,100 VAN NESS AV,814020,CONSTRUCTION,2015-03-30
N201212246822,263,263,0,0,718 LONG BRIDGE ST,8710007,CONSTRUCTION,2015-03-30
N201312174382,351,351,0,0,1979 MISSION ST,3553052,BP FILED,2013-12-17
N201009140800,320,320,0,0,45 LANSING ST,3749059,CONSTRUCTION,2015-03-26
N201312234917,300,300,0,0,1201-1225 TENNESSEE STREET,4172022,BP ISSUED,2015-04-01
N201211073775,271,271,0,30,5800 03RD ST,5431A001,CONSTRUCTION,2015-03-30
N201306280802,220,220,0,0,250 4TH ST,3733008,BP ISSUED,2014-09-12
N201209119428,210,210,0,0,800 BROTHERHOOD WAY,7331003,CONSTRUCTION,2012-09-11
N201409116118,202,202,0,0,1095 MARKET ST,3703059,BP FILED,2014-09-11
N201209059006,450,450,0,0,218 Buchanan St,857001,CONSTRUCTION,2014-07-31
N201212216752,190,190,190,190,1420 MISSION ST,3507039,CONSTRUCTION,2015-03-03
N201210051462,182,182,0,0,MARKET OCTAVIA - PARCEL P,831023,CONSTRUCTION,2014-12-31
N201203196326,182,182,0,0,240 05TH ST,3732150,BP ISSUED,2012-08-27
