PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE
N200912032516,35,35,5,5,1 FRANKLIN ST,0837003,CONSTRUCTION,2016-06-16
N201207104447,98,98,98,98,1100 GOLDEN GATE AV,0757025,CONSTRUCTION,2016-07-01
N201501155871,2,1,0,0,1200 32ND AV,1719012,BP ISSUED,2015-09-04
N201301087514,2,1,0,0,1325 OCEAN AV,6942054,CONSTRUCTION,2016-03-15
N201411212191,2,1,0,0,1477 26TH AV,1827013A,CONSTRUCTION,2016-06-17
N201009140824,1,1,0,0,1510 25TH ST,4224027,BP ISSUED,2011-08-19
N201106228677,4,1,0,0,1551  FRANKLIN ST,0665002,BP ISSUED,2014-06-30
N201502239095,1,1,0,0,1625 OAK ST,1223003,CONSTRUCTION,2015-08-26
N201311041047,4,4,0,0,1631 MCALLISTER ST,1179024A,CONSTRUCTION,2015-12-24
N201312184508,260,260,31,31,1634 - 1690 PINE ST,0647007,CONSTRUCTION,2016-07-01
N201409237117,4,4,0,0,1656 POST ST,0686040,CONSTRUCTION,2016-06-06
N201110146866,2,1,0,0,166 WINFIELD ST,5617014,CONSTRUCTION,2015-09-23
N201508275396,2,1,0,0,1788 SILVER AV,5396001D,CONSTRUCTION,2016-05-31
N201310119174,2,1,0,0,1823 TURK ST (CHURCH),1153020,CONSTRUCTION,2016-04-01
N201505136191,3,2,0,0,202 TEDDY AV (AKA 468 - 488 RUTLAND),6209052,BP FILED,2015-05-13
N201310250236,2,2,0,0,5670 MISSION ST,7099009,CONSTRUCTION,2016-01-22
N201306068799,1,1,0,0,2127 CASTRO ST,6612026,CONSTRUCTION,2015-10-01
N201509156951,2,1,0,0,2225 BAY ST,0927036,CONSTRUCTION,2016-06-14
N200902122009,2,1,0,0,227 NORIEGA ST,2046040A,PL FILED,2014-10-21
N201311273026,3,1,0,0,2356 BRYANT ST,4145012,CONSTRUCTION,2016-03-28
N201508214997,2,1,0,0,239 MAYNARD ST,5890010,CONSTRUCTION,2016-05-03
N201506158935,2,1,0,0,2446 19TH AV,2407021,CONSTRUCTION,2016-06-07
N201210011010,3,1,0,0,2830 22ND ST,4146019,CONSTRUCTION,2015-09-22
N201606170332,1,1,0,0,3350 TARAVAL ST,2372024A,BP FILED,2016-06-17
N201306189882,3,1,0,0,3643 19TH ST,3598068,CONSTRUCTION,2016-02-19
N201503241678,2,1,0,0,428 GROVE ST,0793009,CONSTRUCTION,2016-06-29
N201306260573,41,41,5,5,450 HAYES ST,0808039,CONSTRUCTION,2016-06-29
N201303111903,2,1,0,0,456 27TH ST,6580018,BP REINSTATED,2015-02-04
N200507208144,25,25,0,0,468 CLEMENTINA ST,3732071,CONSTRUCTION,2015-10-01
N201306250465,84,84,11,11,480 POTRERO AV,3973002C,CONSTRUCTION,2016-01-13
N201305036140,6,6,0,0,5 HALLAM ST,3755096,CONSTRUCTION,2015-07-28
N201312124038,12,12,0,0,520 09TH ST,3526005,CONSTRUCTION,2016-03-22
N201209059006,450,450,23,23,55 LAGUNA ST (BLDG 2),0857001,CONSTRUCTION,2016-04-29
N201410310450,4,4,0,0,5617 GEARY BL,1524039,BP FILED,2014-10-31
N201506290179,3,1,0,0,609 HAIGHT ST,0861034,CONSTRUCTION,2016-05-09
N201405135633,2,1,0,0,668 23RD AV,1622025,CONSTRUCTION,2016-04-21
N201407141153,3,1,0,0,72 CASELLI AV,2691019,CONSTRUCTION,2016-05-16
N201411121318,7,7,0,0,726 PRESIDIO AV,1055013,BP FILED,2014-11-12
N201111078462,3,3,0,0,827 NORTH POINT ST,0026030,CONSTRUCTION,2014-06-03
N201406138386,27,27,2,2,832 SUTTER ST,0281003,CONSTRUCTION,2016-01-21
N201504214148,2,1,0,0,919 ATHENS ST,6402031,BP APPROVED,2016-06-21
N201206112282,2,2,0,0,930 SHOTWELL ST,3641076,CONSTRUCTION,2015-04-24
N201505206839,2,1,0,0,931 SILVER AV,5864009,CONSTRUCTION,2015-11-30
N201207124725,80,80,0,0,LUMINA (PLAZA C),3746001,CONSTRUCTION,2016-07-01
