PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE
N200712281517,3,1,0,0,414 Vallejo St,133012,CONSTRUCTION,2012-12-13
N201012156753,90,90,0,0,101 Golden Gate Av,349001,CONSTRUCTION,2014-06-30
N200808270161,2,1,0,0,560 Central Av,1198028,CONSTRUCTION,2009-11-17
N200805061381,3,3,0,0,207 Los Palmos Dr,3027A001,CONSTRUCTION,2013-12-13
N201207205377,88,88,0,0,2175 Market St,3543011,CONSTRUCTION,2014-06-18
N200712211199,100,100,0,0,973 Market St,3704069,CONSTRUCTION,2008-08-14
N200810063512,55,55,0,0,474 Natoma Street,3725101,CONSTRUCTION,2013-11-25
N201208248160,12,12,0,0,2401 16th St,3965001,CONSTRUCTION,2014-06-30
N200212244171,81,71,0,0,1301 Indiana St,4228158,CONSTRUCTION,2014-06-02
N200702063543,4,3,0,0,1710 Diamond St,7535102,CONSTRUCTION,2014-06-24
N200509072195,2,2,0,0,156 Broad St,7107019,CONSTRUCTION,2014-01-30
N201012036075,150,150,0,0,1000 Fourth Street (block 13 East),8711014,CONSTRUCTION,2014-05-09
N200911191706,2,1,0,0,2645 Balboa St,1617032B,BP REINSTATED,2012-05-30
N200912314052,2,2,0,0,56 Peralta Av,5512029,CONSTRUCTION,2014-03-21
N200912314050,2,2,0,0,62 Peralta Av,5512031,CONSTRUCTION,2014-03-21
N201111179162,106,106,0,0,740 Illinois St And 2121 Third St,4045002,CONSTRUCTION,2014-05-23
N201008168852,1,1,0,0,173 Marston St (aka 324 Havelock St,3185023,CONSTRUCTION,2014-06-23
N201011295711,5,1,0,0,4159 24th St,6506034,CONSTRUCTION,2012-10-17
N201112160853,2,2,0,0,427 31st Av,1463005,CONSTRUCTION,2014-04-15
N201201112070,1,1,0,0,1530 48th Av,1893038,CONSTRUCTION,2013-08-22
N201203276943,1,1,0,0,135 Yukon St,2716033,CONSTRUCTION,2013-11-27
N201203266873,3,1,0,0,1326 Francisco St,473008,CONSTRUCTION,2014-04-21
N201205090138,3,1,0,0,1368 Utah St,4264007,CONSTRUCTION,2014-04-28
N201206112314,16,5,0,0,230 11th St,3516005,CONSTRUCTION,2014-04-08
N201204057595,2,1,0,0,764 17th Av,1659030,CONSTRUCTION,2014-05-08
N201304265571,19,19,0,0,1816 Eddy St,1127064,CONSTRUCTION,2014-02-07
N201307111596,3,1,0,0,2028 Beach St,913011,CONSTRUCTION,2014-04-30
N201307121722,2,1,0,0,1510 York St,5514002,BP Filed,2013-07-12
N200706204573,11,11,0,0,3418 26th St,6529012,CONSTRUCTION,2013-07-08
N201206182829,1,1,0,0,1973 Filbert St,531022,CONSTRUCTION,2014-05-05
N201310078710,2,1,0,0,1432 York St,4335001E,BP ISSUED,2014-03-07
N201401216740,3,1,0,0,1126 Irving St,1738021,BP Filed,2014-01-21
