PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE
N201009140800,320,320,0,0,45 LANSING ST,3749059,CONSTRUCTION,2015-07-14
N200810315586,156,156,18,18,1415 MISSION ST,3510001,CONSTRUCTION,2015-07-09
N201010143017,67,67,9,9,527 STEVENSON ST,3703012,CONSTRUCTION,2015-07-23
N200907223197,63,63,7,7,101 DONAHUE ST,4591C042,CONSTRUCTION,2015-07-23
N200805051348,1,1,0,0,98 NORWICH ST,5525018,BP FILED,2008-05-05
N201303122049,15,15,0,0,248 - 252 09TH ST,3518006,CONSTRUCTION,2015-02-09
N200809091137,4,4,0,0,285 OCEAN AV,6951021,PL APPROVED,2009-11-18
N201209119428,210,210,0,0,800 Brotherhood Way,7331005,CONSTRUCTION,2012-09-11
N201307313252,3,2,0,0,1681 Fulton St,1185026,CONSTRUCTION,2015-04-22
N201206293848,2,2,0,0,188 MUSEUM WY,2620119,CONSTRUCTION,2015-06-23
N201301258793,3,2,0,0,748 TREAT AV,3612055,CONSTRUCTION,2015-03-26
N200312243005,2,2,0,0,395 ATHENS ST,6022014,CONSTRUCTION,2014-06-11
N201212196559,1,1,0,0,262 UNIVERSITY ST,5972040,CONSTRUCTION,2015-02-03
N200905289263,2,1,0,0,473 11TH AV,1533017,BP FILED,2009-05-28
N201503100444,2,1,0,0,1341 17TH AV,1772004K,BP APPROVED,2015-07-21
N201412234446,2,1,0,0,135 MIRAMAR AV,6984011,BP ISSUED,2015-06-05
N201306250395,2,1,0,0,2938 23RD ST,4149019,CONSTRUCTION,2015-06-26
N201308083897,1,1,0,0,1535 OAK ST,1222043,CONSTRUCTION,2015-04-23
N201307313198,3,1,0,0,967 SUTTER ST,0300015,CONSTRUCTION,2014-11-21
N201408284951,2,1,0,0,2695 45TH AV,2451002D,CONSTRUCTION,2015-07-23
N201408284948,2,1,0,0,2474 45TH AV,2381027A,CONSTRUCTION,2015-07-23
N201408143818,2,1,0,0,1758 36TH AV,2014004F,BP FILED,2014-08-14
N201406259421,2,1,0,0,2224 SACRAMENTO ST,0627006,BP FILED,2014-06-25
N201505146406,4,0,0,0,2151 LOMBARD ST,0510029A,BP FILED,2015-05-14
N201501125487,2,0,0,0,3159 MISSION ST,5518017,BP FILED,2015-01-12
N201505065461,1,0,0,0,1427 11TH AV,1842004,BP FILED,2015-05-06
N201505065565,4,0,0,0,1555 & 1601 Irving Street - Woodsid,1771041,BP FILED,2015-05-06
N201501226421,2,0,0,0,2887 BRYANT ST,4335003I,BP ISSUED,2015-06-18
