PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE
N201304023626,409,409,0,0,280 BEALE ST,3738004,CONSTRUCTION,2015-09-24
N201212216752,190,190,167,167,1400 MISSION ST,3507039,CONSTRUCTION,2015-08-04
N200903134091,113,113,0,0,429 BEALE ST,3767305,PL APPROVED,2009-05-14
N201412113580,18,18,0,0,89 KIRKWOOD AV,4591C165,BP FILED,2014-12-11
N200702204428,3,3,0,0,12 SHERMAN ST,3754042,BP ISSUED,2012-11-26
N201303283325,3,1,0,0,564 FELL ST,0819011,CONSTRUCTION,2015-05-07
N200503298688,2,1,0,0,948 HAMPSHIRE ST,4143008,BP ISSUED,2009-03-12
N201412163796,47,47,0,0,1 EARL ST,4591D131,BP ISSUED,2015-09-21
N201509217557,32,32,0,0,400 GROVE ST,0793103,BP ISSUED,2015-10-14
N201501145720,21,21,0,0,47 KIRKWOOD AV,4591C143,BP FILED,2015-01-14
N201501145724,11,11,0,0,576 HUDSON AV,4591C032,BP FILED,2015-01-14
N201105256770,10,10,0,0,140 09TH ST,3509005,CONSTRUCTION,2015-01-29
N201501145725,10,10,0,0,536 HUDSON AV,4591C020,BP FILED,2015-01-14
N201202295146,9,9,0,0,421 HUDSON AV,4591C068,CONSTRUCTION,2015-10-22
N201506290137,9,9,0,0,266 SUMMIT WY,7331005,BP ISSUED,2015-10-27
N201202295147,9,9,0,0,451 HUDSON AV,4591C045,CONSTRUCTION,2015-10-21
N201501145723,6,6,0,0,598 HUDSON AV,4591C039,BP FILED,2015-01-14
N201207265893,4,4,0,0,3820 24TH STREET,3651017,CONSTRUCTION,2015-06-02
N201303071701,6,4,0,0,327 BALBOA ST,1640051,CONSTRUCTION,2015-02-26
N201311071427,2,2,0,0,851 CORBETT AV,2778013,CONSTRUCTION,2015-09-25
N201303222896,4,2,0,0,1022 PIERCE ST,0754012,CONSTRUCTION,2015-10-06
N200507137493,2,2,0,0,1665 PALOU AV,5327038,CONSTRUCTION,2014-12-11
N200703126040,2,2,0,0,476 LINDEN ST,0818020,CONSTRUCTION,2015-06-18
N200605091174,3,1,0,0,279 26TH AV,1386015,CONSTRUCTION,2014-02-24
N201304184893,1,1,0,0,2451 19TH AV,2406037,CONSTRUCTION,2014-11-18
N201112120494,2,1,0,0,4372 25TH ST,6540021,CONSTRUCTION,2014-08-04
N201007015845,2,1,0,0,500 CAPP ST,3610032,CONSTRUCTION,2015-09-29
N201011054435,1,1,0,0,216 HEAD ST,7135023,BP FILED,2010-11-05
N201103303154,2,1,0,0,10 LUNDYS LN,5610029A,CONSTRUCTION,2011-12-02
N201412304734,2,1,0,0,2670 21ST AV,2476034,CONSTRUCTION,2015-10-01
N200904025465,1,1,0,0,1235 40TH AV,1710006,CONSTRUCTION,2014-12-29
N200701101393,1,1,0,0,107 24TH AV,1334040,CONSTRUCTION,2013-02-27
N201312093701,2,1,0,0,22 FAIRMOUNT ST,6662007,CONSTRUCTION,2015-05-08
N201504103396,2,1,0,0,414 SOMERSET ST,6044003,CONSTRUCTION,2015-10-05
N201407242031,2,1,0,0,1911 SAN JOSE AV,3202032,BP APPROVED,2015-08-06
N201407211747,2,1,0,0,3339 ANZA ST,1567032,BP FILED,2014-07-21
N201408295044,2,1,0,0,2050 43RD AV,2162031,CONSTRUCTION,2015-10-05
N201409237096,2,1,0,0,1763 33RD AV,2016016,BP ISSUED,2015-04-22
N201409116103,2,1,0,0,1901 17TH AV,2117001,CONSTRUCTION,2015-10-30
