PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE
N200605161774,452,452,0,0,399 FREMONT ST,3747320,CONSTRUCTION,2016-01-07
N201212246822,263,263,0,0,718 LONG BRIDGE ST,8710007,CONSTRUCTION,2016-01-08
N201210051462,182,182,0,0,PARCEL P - MARKET OCTAVIA,0831023,CONSTRUCTION,2014-12-31
N201203276954,170,170,0,0,8 WASHINGTON ST,0201012,PL APPROVED,2012-08-30
N201307051190,162,162,19,19,101 POLK ST,0811002,CONSTRUCTION,2015-12-03
N201211073775,271,271,23,23,5800 03RD ST (BUILDING 4),5431A042,CONSTRUCTION,2016-01-14
N200703307666,3,3,0,0,42 LEESE ST,5719023,BP FILED,2007-03-30
N200707066144,2,1,0,0,623 40TH AV,1583006,BP FILED,2007-07-06
N200712200952,2,1,0,0,6524 FULTON ST,1684002I,CONSTRUCTION,2011-06-03
N200903174286,2,1,0,0,212 23RD AV,1411022,CONSTRUCTION,2011-12-21
N200901150303,3,1,0,0,338 CARL ST,1265009,CONSTRUCTION,2011-06-30
N200706154066,1,1,0,0,2395 DIAMOND ST,7551033,BP FILED,2007-06-15
N201301238536,78,78,0,0,620 SUTTER ST,0283004A,BP FILED,2013-01-23
N200705010136,74,74,7,7,72 TOWNSEND ST,3789003,CONSTRUCTION,2015-11-04
N200912223673,34,34,0,0,50 JERROLD AV,4591C099,CONSTRUCTION,2016-01-15
N200912223671,35,35,15,15,401 INNES AV,4591C095,CONSTRUCTION,2015-12-11
N200907223200,25,25,0,0,201 DONAHUE ST,4591C093,CONSTRUCTION,2015-02-11
N201410108636,418,18,2,2,100 VAN NESS AVE (ADDL 18 UNITS),0814020,BP FILED,2014-10-10
N201202295144,9,9,0,0,420 INNES AV,4591C070,CONSTRUCTION,2015-10-23
N200912223676,12,12,0,0,198 COLEMAN ST,4591C069,CONSTRUCTION,2016-01-15
N200512281146,110,107,60,60,101 EXECUTIVE PARK BL,4991600,BP FILED,2010-10-25
N200912223674,12,12,0,0,200 COLEMAN ST,4591C098,CONSTRUCTION,2016-01-07
N200912223677,12,12,0,0,201 FRIEDELL ST,4591C094,CONSTRUCTION,2015-12-04
N201412194135,31,10,0,0,10 INNES CT,4591C078,BP ISSUED,2015-06-29
N200605232239,9,9,0,0,130 TURK ST,0339006,CONSTRUCTION,2013-11-04
N201202295142,9,9,0,0,101 AVOCET WY,4591C059,CONSTRUCTION,2015-11-12
N201202295141,9,9,0,0,100 AVOCET WY,4591C057,CONSTRUCTION,2015-11-12
N201202295145,9,9,0,0,470 INNES AV,4591C046,CONSTRUCTION,2015-10-19
N201412053180,36,8,0,0,52 INNES CT,4591C082,CONSTRUCTION,2015-12-11
N201412053181,36,8,0,0,51 INNES CT,4591C092,BP ISSUED,2015-06-29
N201412053170,29,8,0,0,10 KENNEDY PL,4591C073,BP ISSUED,2015-12-07
N200207171660,8,8,0,0,3150 GEARY BL,1066028,CONSTRUCTION,2007-09-17
N200608290811,2,2,0,0,2350 SAN BRUNO AV,5880023,CONSTRUCTION,2013-03-20
N200603025879,6,6,0,0,782-786 ANDOVER ST,5825007,CONSTRUCTION,2015-03-19
