PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE,LOCATION
N201412234418,546,546,150,150,TRANSBAY BLOCK 8,3737012,CONSTRUCTION,2017-09-25,"(37.7878990173, -122.3945922852)"
N201503110506,545,545,109,109,TRANSBAY BLOCK 9,3736120,CONSTRUCTION,2017-09-11,"(37.7872047424, -122.3951034546)"
N201606200387,540,540,110,110,1500 - 1580 MISSION ST,3506002,BP APPROVED,2017-09-07,"(37.7743339539, -122.4179992676)"
N201209069080,540,540,82,82,TRINITY PLAZA,3702391,CONSTRUCTION,2017-02-21,"(37.7779273987, -122.4130172729)"
N201511203265,501,501,74,74,TRINITY PLAZA,3702308,BP ISSUED,2016-10-24,"(37.7784423828, -122.413482666)"
N201309045886,434,434,55,55,801 BRANNAN ST,3783001,CONSTRUCTION,2017-09-28,"(37.7718238831, -122.4038848877)"
N201406138394,431,431,50,50,150 VAN NESS AV,0814001,CONSTRUCTION,2017-09-21,"(37.7773017883, -122.418296814)"
N201611283577,404,404,0,0,30 OTIS ST,3505016,BP FILED,2016-11-28,"(37.7729187012, -122.4193954468)"
N201404304554,403,403,49,49,41 TEHAMA ST,3736074,CONSTRUCTION,2017-09-11,"(37.7869796753, -122.3966217041)"
N201406259481,390,390,156,156,TRANSBAY BLOCK 1,3740030,CONSTRUCTION,2017-09-25,"(37.7897377014, -122.3917541504)"
N201312174382,331,331,40,40,1979 MISSION ST,3553052,BP FILED,2013-12-17,"(37.7655830383, -122.4191207886)"
N201406259383,326,326,0,0,800 INDIANA ST,4105009,CONSTRUCTION,2017-09-28,"(37.7591972351, -122.3917312622)"
N201406128212,304,304,36,36,1066 MARKET ST,0350003,PL APPROVED,2016-03-17,"(37.7817993164, -122.4117431641)"
N201612094535,300,300,0,0,1500 MARKET ST,0836002,BP FILED,2016-03-17,"(37.7752151489, -122.4196090698)"
N201611303826,299,299,64,64,1270 MISSION ST,3701021,BP FILED,2016-11-30,"(37.7768058777, -122.4145202637)"
N201512145054,256,256,0,0,1395 22ND ST,4167013,BP ISSUED,2017-05-18,"(37.7569770813, -122.394744873)"
