PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN
N201308093997,722,2,0,0,515 JOHN MUIR DR,7282005
N201208026344,399,399,0,0,100 VAN NESS AV,814020
N201205180774,37,37,0,0,25 DOLORES ST,3534069
N200408121427,18,18,0,0,899 VALENCIA ST,3596113
N9902819,8,8,0,0,1179 TENNESSEE ST,4172053
N200603025880,6,6,0,0,782-786 ANDOVER ST,5825007
N201401146235,3,1,0,0,1155 CHURCH ST,3650028
N200905208827,3,2,0,0,251 ARKANSAS ST,4004024
N200706143970,3,2,0,0,520 28TH AV,1517030
N201304023614,2,2,0,0,850 BATTERY ST,141008
N201312103821,2,1,0,0,750 27TH STREET,6583010
N200805232798,2,1,0,0,838 KANSAS ST,4093007
N201311222623,2,1,0,0,961 CHURCH ST,3619039
N201001074297,2,1,0,0,1766 OAKDALE AV,5312018
N200807176993,1,1,0,0,165 BRUSSELS ST,5926022
N200712241234,1,1,0,0,2626 FILBERT ST,943003B
N201301047264,1,1,0,0,1310 GENEVA AV,6415022
N201305036095,1,1,0,0,126 27TH AV,1332049
