PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE,LOCATION
N201610190658,2,1,0,0,1115 FITZGERALD AV,4938026A,BP FILED,2016-10-19,"(37.71990953910, -122.38996434700)"
N201401307462,1,1,0,0,1117 HOWARD ST,3730118,CONSTRUCTION,2017-03-24,"(37.77748651020, -122.40955757600)"
N201407292390,2,1,0,0,112 12TH AV,1371039,CONSTRUCTION,2017-03-07,"(37.78591097540, -122.47074960400)"
N201608094515,2,1,0,0,112 YUKON ST,2713001D,BP FILED,2016-08-09,"(37.75784916940, -122.44246406000)"
N201507232260,2,1,0,0,1121 FELTON ST,5971029,CONSTRUCTION,2016-12-07,"(37.72686011410, -122.41584808300)"
N201003037492,4,1,0,0,1122 PAGE ST,1219008,BP ISSUED,2011-05-31,"(37.77216542280, -122.43936507200)"
N200907072084,1,1,0,0,1123 GIRARD ST,6173005,BP REINSTATED,2014-01-14,"(37.71867696100, -122.40065391400)"
N201509187456,3,1,0,0,1133 TENNESSEE ST,4172028,BP FILED,2015-09-18,"(37.75723293780, -122.38887559300)"
N201407252206,4,2,0,0,115 - 117 PLYMOUTH AV,7138056,BP ISSUED,2016-08-26,"(37.71196969180, -122.45623165200)"
N201505227051,3,3,0,0,115 TELEGRAPH HILL BL,0105065,BP ISSUED,2016-08-10,"(37.80160159300, -122.40575006200)"
N201502249220,3,2,0,0,1152 POTRERO AV,4211011,BP ISSUED,2017-01-05,"(37.75370945060, -122.40674426000)"
N201605318684,2,1,0,0,1153 CAPP ST,6571017,BP FILED,2016-05-31,"(37.74842537210, -122.41729503700)"
N201411191947,1,1,0,0,116 ELSIE ST,5618007,CONSTRUCTION,2017-03-03,"(37.74282279530, -122.41789962500)"
N201606291163,2,1,0,0,116 VIRGINIA AV,5643035,CONSTRUCTION,2016-12-16,"(37.74227561250, -122.41989370500)"
N201502047491,18,3,0,0,1160 PINE ST,0252011,BP FILED,2015-02-04,"(37.79061672760, -122.41494618500)"
N201410280026,2,1,0,0,1167 PALOU AV,4757047,BP FILED,2014-10-28,"(37.72918617920, -122.38299497600)"
N200803288274,1,1,0,0,1167 STANYAN ST,2630017,BP ISSUED,2013-09-25,"(37.76294430830, -122.45256816400)"
N200803288288,2,2,0,0,1169 STANYAN ST,2630018,BP ISSUED,2013-09-25,"(37.76287312180, -122.45255312500)"
N201508265383,42,42,0,0,1174 - 1178 FOLSOM ST,3730023,BP ISSUED,2016-07-18,"(37.77571411710, -122.40974319500)"
N201403100278,3,1,0,0,1181 VALENCIA ST,3636027,CONSTRUCTION,2017-01-18,"(37.75406554320, -122.42048735400)"
N201511102336,2,1,0,0,1187 PALOU AV,4757014,BP FILED,2015-11-10,"(37.72938577590, -122.38334664700)"
N200703307744,3,3,0,0,1225 DOLORES ST,6534029,BP ISSUED,2015-04-03,"(37.74983703080, -122.42453984800)"
N201406249298,39,39,0,0,119 07TH ST,3726103,CONSTRUCTION,2017-03-24,"(37.77907287020, -122.41031238000)"
N201402067966,1,1,0,0,119 VERNON ST,7085017,BP FILED,2014-02-06,"(37.71468291870, -122.46827829900)"
N201601227793,2,1,0,0,1192 NAPLES ST,6482021,BP ISSUED,2016-08-23,"(37.71224299630, -122.43791319900)"
N201507141495,49,49,6,6,1198 VALENCIA ST,3635014,CONSTRUCTION,2017-03-23,"(37.75393177210, -122.42118351400)"
N201605177697,3,1,0,0,1199 DOLORES ST,6511018,CONSTRUCTION,2017-02-16,"(37.75039338160, -122.42463055700)"
N201701197464,1,1,0,0,12 NEPTUNE ST,5406004,BP FILED,2017-01-19,"(37.73084841530, -122.39725038000)"
N201609299193,95,95,0,0,1200 VAN NESS AV,0691005,BP FILED,2016-09-26,"(37.78694361070, -122.42098583800)"
N201312234917,259,259,34,34,1201 - 1225 TENNESSEE ST,4172022,CONSTRUCTION,2017-03-24,"(37.75592797410, -122.38860297300)"
N200605111391,2,2,0,0,1208 15TH AV,1736033,CONSTRUCTION,2014-06-06,"(37.76525058510, -122.47254232400)"
N201610039432,2,1,0,0,121 CAYUGA AV,6786025,BP FILED,2016-10-03,"(37.73094029470, -122.43085586500)"
N201608094585,5,2,0,0,1210 UTAH ST,4212002,BP ISSUED,2016-09-02,"(37.75392010230, -122.40572541100)"
N201509156948,3,1,0,0,1211 SCOTT ST,1127003,BP APPROVED,2017-03-24,"(37.78119601470, -122.43765994600)"
N201312315375,2,2,0,0,1212 EGBERT AV,4909003,BP FILED,2013-12-31,"(37.72091634250, -122.38900562300)"
N201607011423,15,3,0,0,122 - 144 TIFFANY AV,6597007S,BP FILED,2016-07-01,"(37.74499343030, -122.42163819200)"
N201507091099,4,4,0,0,1234 GRANT AV,0145044,BP FILED,2015-07-09,"(37.79864786630, -122.40700243200)"
N201402078043,3,2,0,0,1236 19TH AV,1732037,BP ISSUED,2016-11-03,"(37.76468243580, -122.47687473200)"
N201405236581,3,2,0,0,1236 ARGUELLO BL,1265019,CONSTRUCTION,2017-03-31,"(37.76526818840, -122.45734108200)"
N201510099392,2,2,0,0,1238 45TH AV,1706037,BP FILED,2015-10-09,"(37.76345205080, -122.50473704100)"
N201507161644,37,37,4,4,1238 SUTTER ST,0670011,CONSTRUCTION,2017-03-15,"(37.78792924600, -122.42082396900)"
N201404163343,2,1,0,0,1239 21ST AV,1729007,BP FILED,2014-04-16,"(37.76455979810, -122.47967199500)"
N201605207974,7,5,0,0,124 - 126 HAIGHT ST,0852044,BP FILED,2016-05-20,"(37.77312650560, -122.42449215200)"
N201412194190,1,1,0,0,127 23RD AV,1383004,CONSTRUCTION,2017-02-28,"(37.78527321090, -122.48329327500)"
