PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE,LOCATION
N201505085755,1,1,0,0,1 EDGAR AV,6978069,BP FILED,2015-05-08,"(37.7203939917, -122.452521)"
N200912032516,35,35,5,5,1 FRANKLIN ST,0837003,CONSTRUCTION,2016-03-28,"(37.7744289168, -122.421110)"
N201306250394,560,560,0,0,1 HENRY ADAMS ST,3911001,CONSTRUCTION,2016-03-17,"(37.7692014331, -122.403473)"
N201409247165,2,1,0,0,1 HORACE ST,6525001A,BP FILED,2014-09-24,"(37.7507228458, -122.414398)"
N200712140534,13,13,0,0,1 STANYAN ST,1084001B,BP APPROVED,2015-10-22,"(37.7810723620, -122.456522)"
N201203055412,1,1,0,0,10 APTOS AV,3261002,BP FILED,2012-03-05,"(37.7316033454, -122.466341)"
N201507091034,2,2,0,0,10 TINGLEY ST,6800004,BP FILED,2015-07-09,"(37.7285638384, -122.432103)"
N200408040564,12,12,5,5,1001 17TH ST & 140 PENNSYLVANIA AV,3987010,BP ISSUED,2014-08-06,"(37.7647823807, -122.394109)"
N201512023975,2,1,0,0,1050 GILMAN AV,4937006A,BP FILED,2015-12-02,"(37.7190448298, -122.389037)"
N200705010141,28,28,3,3,1004 MISSISSIPPI ST,4224015,BP APPROVED,2016-03-15,"(37.7536194639, -122.394042)"
N201112070234,393,393,94,94,1006 / 1050 16TH ST & 1380 07TH ST,3833002,CONSTRUCTION,2016-03-30,"(37.7666898720, -122.397182)"
N201306270692,85,85,10,10,101 HYDE ST,0346003A,BP FILED,2013-06-27,"(37.7818037359, -122.415897)"
N200705221925,4,3,0,0,101 LELAND AV,6250036,CONSTRUCTION,2016-01-21,"(37.7117660653, -122.405831)"
N201512175322,4,4,0,0,1010 STANYAN ST,1273017,BP FILED,2015-12-17,"(37.7652324781, -122.452420)"
N201209109355,1,1,0,0,1014 GILMAN AV,4937018,BP ISSUED,2013-10-22,"(37.7185391968, -122.388233)"
N201506229512,2,2,0,0,1016 DE HARO ST,4159004,BP FILED,2015-06-22,"(37.7568322350, -122.401149)"
N201410290258,2,1,0,0,1019 KANSAS ST,4158060,BP FILED,2014-10-29,"(37.7567530763, -122.402460)"
N201411252470,3,1,0,0,102 BAKER ST,1219018,BP FILED,2014-11-25,"(37.7720172859, -122.440249)"
N201308295550,3,1,0,0,1087 MISSISSIPPI ST,4224049,BP REINSTATED,2015-10-01,"(37.7529043718, -122.393348)"
N201201242773,2,2,0,0,103 WALBRIDGE ST,6428007,BP REINSTATED,2012-01-30,"(37.7090593769, -122.423833)"
N201510200295,6,6,0,0,1032 PACIFIC AV,0158010,BP FILED,2015-10-20,"(37.7963705567, -122.412263)"
N201406269523,83,83,83,83,1036 - 1040 MISSION ST,3703079,BP ISSUED,2015-09-11,"(37.7805850084, -122.409786)"
N200705010119,2,2,0,0,1036 MISSISSIPPI ST,4224018,BP APPROVED,2009-12-01,"(37.7532771829, -122.394009)"
N201006073967,3,2,0,0,1067 TENNESSEE ST,4108010,BP REINSTATED,2010-09-08,"(37.7584373354, -122.388988)"
