PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN
N201009140800,320,320,0,0,45 LANSING ST,3749059
N200810315586,156,121,18,18,1415 MISSION ST,3510001
N201010143017,67,67,9,9,527 STEVENSON ST,3703012
N200907223197,63,63,7,7,101 DONAHUE ST,4591C042
N201303122049,15,15,0,0,248 - 252 09TH ST,3518006
N201209119428,210,4,0,0,800 Brotherhood Way,7331005
N201307313252,3,2,0,0,1681 Fulton St,1185026
N201206293848,2,2,0,0,188 MUSEUM WY,2620119
N201301258793,3,2,0,0,748 TREAT AV,3612055
N200312243005,2,2,0,0,395 ATHENS ST,6022014
N201212196559,1,1,0,0,262 UNIVERSITY ST,5972040
N201306250395,2,1,0,0,2938 23RD ST,4149019
N201308083897,1,1,0,0,1535 OAK ST,1222043
N201307313198,3,1,0,0,967 SUTTER ST,0300015
N201408284951,2,1,0,0,2695 45TH AV,2451002D
N201408284948,2,1,0,0,2474 45TH AV,2381027A
