PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE,LOCATION
N201503201418,2,2,0,0,271 UPPER TR,2628032,BP FILED,2015-03-20,"(37.76223134390, -122.44543184700)"
N201307151829,2,2,0,0,579 39TH AV,1505014,BP FILED,2013-07-15,"(37.77788047140, -122.49995220600)"
N201410280026,2,1,0,0,1167 PALOU AV,4757047,BP FILED,2014-10-28,"(37.72918617920, -122.38299497600)"
N201412314770,6,6,0,0,3945 JUDAH ST,1809028,BP FILED,2014-12-31,"(37.76030615840, -122.50455910000)"
N201411121318,7,7,0,0,726 PRESIDIO AV,1055013,BP FILED,2014-11-12,"(37.78499239860, -122.44593018600)"
N201410108600,3,3,0,0,44 WOODWARD ST,3532048,BP FILED,2014-10-10,"(37.76914108000, -122.42104845800)"
N201412113579,3,3,0,0,835 SOUTH VAN NESS AV,3594023,BP FILED,2014-12-11,"(37.75980435840, -122.41661513100)"
N201412234418,603,603,0,0,245 01ST ST,3737012,BP FILED,2014-12-23,"(37.78790011200, -122.39459403800)"
N201503110506,545,545,0,0,500 FOLSOM ST,3736120,BP FILED,2015-03-11,"(37.78720355540, -122.39510677000)"
N201012317718,2,2,0,0,2006 KEITH ST,5386001,BP FILED,2010-12-31,"(37.72869190340, -122.39030955300)"
N201410108662,9,9,0,0,2889 JENNINGS ST,4913011,BP FILED,2014-10-10,"(37.72212533640, -122.39279638600)"
N201403170944,20,20,0,0,449 14th street,3546026,BP FILED,2014-03-17,"(37.76780880130, -122.42325364200)"
N201404304554,403,403,0,0,57 TEHAMA ST,3736078A,BP FILED,2014-04-30,"(37.78739474860, -122.39609331300)"
N201312174382,351,351,0,0,1979 MISSION ST,3553052,BP FILED,2013-12-17,"(37.76558137550, -122.41912306800)"
N201312184508,260,260,0,0,1634-1690 PINE ST,647007,PL FILED,2012-07-17,"(37.78959297530, -122.42295080900)"
N201410038023,1,1,0,0,410 HEARST AV,3116006A,BP FILED,2014-10-03,"(37.73086240100, -122.44698655800)"
N201409116118,202,202,0,0,1095 MARKET ST,3703059,BP FILED,2014-09-11,"(37.78032868840, -122.41201361100)"
N201407181635,1,1,0,0,647 DUNCAN ST,6604038,BP FILED,2014-07-18,"(37.74540189790, -122.43433147700)"
N201311202410,115,115,0,0,923 FOLSOM STREET,3753106,BP ISSUED,2015-05-12,"(37.77960930410, -122.40338078100)"
N201311222657,110,110,0,0,1554 MARKET ST,836007,BP FILED,2013-11-22,"(37.77498042420, -122.42019610700)"
N201306210213,109,109,0,0,2171 THIRD ST,4045003,BP FILED,2013-06-21,"(37.76234051140, -122.38825521800)"
N201306270692,85,85,0,0,101 HYDE ST,346003A,BP FILED,2013-06-27,"(37.78180373770, -122.41589654800)"
N201503160933,1,1,0,0,255 28TH ST,6614035,BP FILED,2015-03-16,"(37.74498007410, -122.42803703900)"
N201410108646,6,6,0,0,949 NATOMA ST,3510028,BP FILED,2014-10-10,"(37.77390856850, -122.41535783300)"
N201501145724,11,11,0,0,576 HUDSON AV,4591C032,BP FILED,2015-01-14,"(37.72930401170, -122.36889999300)"
N201301238536,65,65,0,0,620 SUTTER ST,283004A,BP FILED,2013-01-23,"(37.78924086270, -122.41073029500)"
N201410229565,2,2,0,0,162 GRAND VIEW AV,2754052,BP FILED,2014-10-22,"(37.75550535050, -122.44061512700)"
N201412163796,47,47,0,0,1 EARL ST,4591D131,BP FILED,2014-12-16,"(37.72762848820, -122.37497946700)"
N201305026020,3,3,0,0,1100 POTRERO AV,4211001,BP FILED,2013-05-02,"(37.75440794930, -122.40681090200)"
N201412194144,81,24,0,0,690 MARKET ST,311016,BP FILED,2014-12-19,"(37.78824797860, -122.40323221300)"
N201502198775,35,35,0,0,1278 - 1298 VALENCIA ST,3644021,BP FILED,2015-02-19,"(37.75230964160, -122.42097736600)"
N201412294587,34,34,0,0,980 FOLSOM ST,3732028,BP FILED,2014-12-29,"(37.77901663150, -122.40536411100)"
N200703307666,3,3,0,0,42 LEESE ST,5719023,BP FILED,2007-03-30,"(37.73646438030, -122.42374006600)"
N201408053094,28,28,0,0,198 VALENCIA ST,3502108,BP FILED,2014-08-05,"(37.77009628440, -122.42268628500)"
N201501075157,3,1,0,0,3336 BRODERICK ST,927024,BP FILED,2015-01-07,"(37.80126852600, -122.44449129300)"
N201501145720,21,21,0,0,47 KIRKWOOD AV,4591C143,BP FILED,2015-01-14,"(37.72669160280, -122.36949533900)"
N201403100361,20,20,0,0,1335 LARKIN ST,645003,PL FILED,2014-07-23,"(37.79033011560, -122.41930836300)"
N201412113580,18,18,0,0,89 KIRKWOOD AV,4591C165,BP FILED,2014-12-11,"(37.72713863580, -122.37096273400)"
N201305217457,12,12,0,0,690 PAGE ST,843016,BP FILED,2013-05-21,"(37.77306436250, -122.43203185300)"
N201405307085,15,15,0,0,1532 HOWARD ST,3511015,BP FILED,2014-05-30,"(37.77281762700, -122.41628426300)"
N201412194135,31,10,0,0,10 INNES CT,4591C078,BP FILED,2014-12-19,"(37.72799618610, -122.36804862200)"
N201501145725,10,10,0,0,536 HUDSON AV,4591C020,BP FILED,2015-01-14,"(37.72893089050, -122.36824333400)"
N201405276744,8,8,0,0,1458 BROADWAY,572013,BP FILED,2014-05-27,"(37.79633951570, -122.42108681700)"
N201306199977,9,9,0,0,131 MISSOURI ST,3985024,BP FILED,2013-06-19,"(37.76467976180, -122.39641291600)"
N201502138349,6,6,0,0,854 CAPP ST,3642041,BP FILED,2015-02-13,"(37.75300695550, -122.41773338000)"
N201412163783,5,5,0,0,888 NORTH POINT ST,25024,BP FILED,2014-12-16,"(37.80574544680, -122.42181423100)"
N201412053170,29,8,0,0,10 KENNEDY PL,4591C073,BP FILED,2014-12-05,"(37.72808501840, -122.36750509400)"
N201503171144,1,1,0,0,2405 32ND AV,2393002,BP FILED,2015-03-17,"(37.74200295320, -122.48991969500)"
N201405085278,9,9,0,0,2420 03RD ST,4108003,BP FILED,2014-05-08,"(37.75894062360, -122.38872197000)"
N201412053180,36,8,0,0,52 INNES CT,4591C082,BP FILED,2014-12-05,"(37.72768879900, -122.36746942200)"
N201210313210,9,9,0,0,1469 PACIFIC AV,185029,PL FILED,2013-07-10,"(37.79506103910, -122.41942478000)"
N201409106031,9,8,0,0,1532 OCEAN AV,3196028,BP FILED,2014-09-10,"(37.72469703930, -122.45877928100)"
N201412053181,36,8,0,0,51 INNES CT,4591C092,BP FILED,2014-12-05,"(37.72693323100, -122.36751226700)"
N201206203038,7,7,0,0,2255 TARAVAL ST,2393040,PL FILED,2013-08-13,"(37.74215315010, -122.49045470300)"
N201404223881,9,7,0,0,1463 LOMBARD ST,503021,BP FILED,2014-04-22,"(37.80085891240, -122.42549627900)"
N201402198846,10,6,0,0,3324 19TH ST,3590014,BP FILED,2014-02-19,"(37.76054056420, -122.41766402100)"
N200809262781,6,6,0,0,700 36TH AV,1609021,BP FILED,2008-09-26,"(37.77554028710, -122.49601103000)"
N201501145723,6,6,0,0,598 HUDSON AV,4591C039,BP FILED,2015-01-14,"(37.72954306370, -122.36932061500)"
N200808290369,6,6,0,0,1415 OCEAN AV,6941063,BP FILED,2008-08-29,"(37.72389517580, -122.45759357300)"
N200908185077,5,4,0,0,598 BELVEDERE ST,1279048,BP FILED,2009-08-18,"(37.76195667370, -122.44768127300)"
N201404254156,5,5,0,0,590 LELAND AVE,6243019,BP FILED,2014-04-25,"(37.71513871940, -122.41533585300)"
N201501085203,9,5,0,0,657 CAPP ST,3615047,BP FILED,2015-01-08,"(37.75625021830, -122.41745287500)"
N201402219037,5,5,0,0,3822 24TH ST,3651018,BP FILED,2014-02-21,"(37.75190135450, -122.42807415700)"
N201310088785,5,5,0,0,34 LANGTON ST,3730096,BP FILED,2013-10-08,"(37.77694529740, -122.40944445000)"
N201410169154,5,5,0,0,4171 24TH ST,6506032,BP FILED,2014-10-16,"(37.75096390090, -122.43553887400)"
N201501135624,2,1,0,0,330 COUNTRY CLUB DR,7272043,BP FILED,2015-01-13,"(37.73313694790, -122.49560897900)"
N201405206278,10,4,0,0,2782 FOLSOM ST,3641010C,BP FILED,2014-05-20,"(37.75272206610, -122.41445354800)"
N200806134390,3,3,0,0,3201 BALBOA ST,1611001,BP FILED,2008-06-13,"(37.77565543150, -122.49319218600)"
N201408214436,4,4,0,0,1126 IRVING ST,1738021,BP FILED,2014-08-21,"(37.76412442260, -122.47001668400)"
N201407302554,4,4,0,0,930 BAKER ST,1118003,BP FILED,2014-07-30,"(37.77989748730, -122.44140055800)"
N201410310450,4,4,0,0,5617 GEARY BL,1524039,BP FILED,2014-10-31,"(37.78000814580, -122.47979792100)"
N200806063801,4,4,0,0,48 HARRIET ST,3731102,BP FILED,2008-06-06,"(37.77861509740, -122.40710686200)"
N201208076803,4,4,0,0,127 BUCHANAN ST,869007,BP FILED,2012-08-07,"(37.77098409770, -122.42720819700)"
N201409237117,4,4,0,0,1656 POST ST,686040,BP FILED,2014-09-23,"(37.78590403240, -122.42908004600)"
N201405216382,4,4,0,0,965 POWHATTAN AV,5640010,BP FILED,2014-05-21,"(37.74150838470, -122.41035009300)"
N201407181625,4,4,0,0,315 SOUTH VAN NESS AV,3549041,BP FILED,2014-07-18,"(37.76812058580, -122.41746006600)"
N201303051501,6,4,0,0,2500 CLEMENT ST,1407017,BP FILED,2013-03-05,"(37.78223348940, -122.48615371900)"
N200706154066,1,1,0,0,2395 DIAMOND ST,7551033,BP FILED,2007-06-15,"(37.73851882490, -122.43625351600)"
N200712190876,1,1,0,0,538 VALLEY ST,6611014,BP FILED,2007-12-19,"(37.74428928570, -122.43430811600)"
N201312174396,1,1,0,0,3040 24TH ST,3640079,BP FILED,2013-12-17,"(37.75276528540, -122.41277459200)"
N201407070583,1,1,0,0,1455 11TH AV,1842011,BP FILED,2014-07-07,"(37.76103267480, -122.46857690700)"
N201402259241,2,1,0,0,259 ROOSEVELT WY,2614048,BP FILED,2014-02-25,"(37.76567209740, -122.44026438500)"
N200609253194,1,1,0,0,29 JOY ST,5577013,BP FILED,2006-09-25,"(37.74374501070, -122.40712085900)"
N201102180558,1,1,0,0,2138 FOLSOM ST,3574008,BP FILED,2011-02-18,"(37.76307428620, -122.41544418900)"
N201106289066,1,1,0,0,354 MULLEN AV,5535006,BP FILED,2011-06-28,"(37.74593445980, -122.40616538000)"
N201403170852,3,1,0,0,787 TREAT AV,3612017A,BP FILED,2014-03-17,"(37.75767358530, -122.41331292200)"
N201111158893,3,1,0,0,3436 SCOTT ST,465A022,BP FILED,2011-11-15,"(37.80169758990, -122.44119328600)"
N201412194158,2,2,0,0,531 33RD AV,1511005,BP FILED,2014-12-19,"(37.77900343840, -122.49358733800)"
N201408123622,12,3,0,0,25 ELGIN PARK ST,3502111,BP FILED,2014-08-12,"(37.77105388800, -122.42311675900)"
N201111189212,3,3,0,0,2175 HAYES ST,1212022,BP FILED,2011-11-18,"(37.77289343240, -122.45206041100)"
N200808139077,6,3,0,0,3927 19TH ST,3601071,BP FILED,2008-08-13,"(37.75926475640, -122.43120463700)"
N201207114624,4,3,0,0,2830 24TH ST,4209017,BP FILED,2012-07-11,"(37.75304741020, -122.40879099600)"
N201310310847,3,3,0,0,777 VALENCIA ST,3589108,BP FILED,2013-10-31,"(37.76056459260, -122.42118770200)"
N201311212547,5,3,0,0,1239 17TH ST,3985027,BP FILED,2013-11-21,"(37.76491404500, -122.39654409800)"
N200602094307,2,2,0,0,1090 CHURCH ST,3628014,BP FILED,2006-02-09,"(37.75344733160, -122.42795097300)"
N200612139805,3,3,0,0,4411 CABRILLO ST,1688001A,BP FILED,2006-12-13,"(37.77319550210, -122.50603472800)"
N201503130811,3,3,0,0,974 GENEVA AV,6411034,BP FILED,2015-03-13,"(37.71566119600, -122.44011283700)"
N201312043354,24,3,0,0,885 FRANKLIN ST,744020,BP FILED,2013-12-04,"(37.78240083310, -122.42263620000)"
N201409055492,3,3,0,0,6044 GEARY BLVD,1456023,BP FILED,2014-09-05,"(37.78041298750, -122.48448220000)"
N201407090811,3,3,0,0,2815 POLK ST,478003,BP FILED,2014-07-09,"(37.80275013440, -122.42341011400)"
N201201242770,2,2,0,0,520 CARTER ST,6428001,BP FILED,2012-01-24,"(37.70903614950, -122.42375118000)"
N200804038738,3,2,0,0,1321 DE HARO ST,4218036,PL APPROVED,2009-07-16,"(37.75313631570, -122.40017151300)"
N201412184051,2,2,0,0,460 31ST AV,1462031,BP FILED,2014-12-18,"(37.78062938020, -122.49088712800)"
N201404173443,3,2,0,0,2621 HARRISON ST,4148027,BP FILED,2014-04-17,"(37.75537830680, -122.41184170900)"
N201503201461,2,2,0,0,2920 FRANKLIN ST,498020,BP FILED,2015-03-20,"(37.80153739270, -122.42599505100)"
N201306149612,2,2,0,0,80 BLAKE ST,1068003,BP FILED,2013-06-14,"(37.78249894910, -122.45090982000)"
N200803288288,2,2,0,0,1169 STANYAN ST,2630018,BP ISSUED,2013-09-25,"(37.76287312180, -122.45255312500)"
N201112301504,2,2,0,0,534 TEXAS ST,4101004,BP FILED,2011-12-30,"(37.75953003620, -122.39557612300)"
N201502188620,8,2,0,0,3312 17TH ST,3569017,BP FILED,2015-02-18,"(37.76357910870, -122.41997704300)"
N201411262632,3,2,0,0,151 BERNARD ST,156015A,BP FILED,2014-11-26,"(37.79609378650, -122.41592354400)"
N201312164322,2,2,0,0,3516 Folsom St,5626013,BP FILED,2013-12-16,"(37.74207587670, -122.41334759800)"
N201411181835,3,2,0,0,2806 VAN NESS AV,499004,BP FILED,2014-11-18,"(37.80162557060, -122.42418820700)"
N201410249901,5,2,0,0,3215 SCOTT ST,936020,BP FILED,2014-10-24,"(37.79946013610, -122.44123814400)"
N201308285446,2,2,0,0,153 ARKANSAS ST,3983014,BP FILED,2013-08-28,"(37.76422112240, -122.39831338000)"
N201405206229,4,2,0,0,4024 24TH ST,3656010,BP FILED,2014-05-20,"(37.75163296820, -122.43252693700)"
N201408133730,2,2,0,0,160 BERNARD ST,156036,BP FILED,2014-08-13,"(37.79632821490, -122.41605980300)"
N201407221872,2,2,0,0,3198 MARKET ST,2659052,BP FILED,2014-07-22,"(37.75953877510, -122.44509048900)"
N201309066225,4,2,0,0,2429 CHESTNUT ST,935024,BP FILED,2013-09-06,"(37.79962450300, -122.44338105400)"
N201502249220,3,2,0,0,1152 POTRERO AV,4211011,BP FILED,2015-02-24,"(37.75370945060, -122.40674426000)"
N201405075174,2,2,0,0,201 MISSOURI ST,4002024,BP FILED,2014-05-07,"(37.76368149440, -122.39631921400)"
N201405236581,3,2,0,0,1236 ARGUELLO BLVD,1265019,BP FILED,2014-05-23,"(37.76526818840, -122.45734108200)"
N201402078043,3,2,0,0,1236 19TH AV,1732037,BP FILED,2014-02-07,"(37.76468243580, -122.47687473200)"
N201412194190,1,1,0,0,127 23RD AV,1383004,BP FILED,2014-12-19,"(37.78527321090, -122.48329327500)"
N201407020334,2,2,0,0,931 KANSAS ST,4094046,BP FILED,2014-07-02,"(37.75796393930, -122.40257662200)"
N201405296933,6,2,0,0,716 CLEMENTINA ST,3729042,BP FILED,2014-05-29,"(37.77523362380, -122.41112798800)"
N201407090780,2,2,0,0,1513 YORK ST,5513011,BP FILED,2014-07-09,"(37.74812528570, -122.40686730500)"
N201407302522,2,2,0,0,3123 FOLSOM ST,5503018,BP FILED,2014-07-30,"(37.74791144350, -122.41332594700)"
N201402047760,2,2,0,0,8 RONDEL PL,3569052,BP FILED,2014-02-04,"(37.76449129540, -122.42135077300)"
N201302140247,2,2,0,0,1750 OAKDALE AV,5312014,BP FILED,2013-02-14,"(37.73641327810, -122.39300037500)"
N201403181032,2,2,0,0,2506 MCALLISTER ST,1144020,BP FILED,2014-03-18,"(37.77593514650, -122.45327527400)"
N201302119939,2,2,0,0,1914 20TH ST,4071014,PL FILED,2013-10-25,"(37.75999810190, -122.40051374800)"
N201407020335,2,2,0,0,929 KANSAS ST,4094047,BP FILED,2014-07-02,"(37.75803239860, -122.40258320000)"
N201101208700,4,2,0,0,3808 MISSION ST,6692002,BP FILED,2011-01-20,"(37.73578134990, -122.42486668200)"
N201503201416,2,2,0,0,301 UPPER TR,2628035,BP FILED,2015-03-20,"(37.76210210180, -122.44558659200)"
N201405155866,3,2,0,0,423 24TH AV,1456003,BP FILED,2014-05-15,"(37.78156757200, -122.48409813600)"
N201407020336,2,2,0,0,925 KANSAS ST,4094048,BP FILED,2014-07-02,"(37.75809932550, -122.40258962900)"
N201312315336,3,2,0,0,5875 MISSION ST,6472022,BP FILED,2013-12-31,"(37.70869175690, -122.45177706100)"
N201502188607,4,2,0,0,195 BROAD ST,7113063,BP FILED,2015-02-18,"(37.71296045840, -122.45883184900)"
N200702214545,3,2,0,0,1419 BRODERICK ST,1080008,BP FILED,2007-02-21,"(37.78346820920, -122.44151470500)"
N201407020323,2,2,0,0,935 KANSAS ST,4094045,BP FILED,2014-07-02,"(37.75789547910, -122.40257004300)"
N200806275518,2,2,0,0,339 18TH AV,1450007,BP FILED,2008-06-27,"(37.78158372690, -122.47764649800)"
N201310169408,2,2,0,0,1271 19TH AV,1731015,PL FILED,2014-08-15,"(37.76410775280, -122.47755111400)"
N201405125450,2,2,0,0,1947 OAKDALE AV,5319037,BP FILED,2014-05-12,"(37.73808910580, -122.39702986100)"
N201312315375,2,2,0,0,1212 EGBERT AV,4909003,BP FILED,2013-12-31,"(37.72091634250, -122.38900562300)"
N201412163794,2,2,0,0,2774 SAN BRUNO AV,6048010,BP FILED,2014-12-16,"(37.72667821920, -122.40346903600)"
N201503160999,3,2,0,0,4221 GEARY BL,1538036,BP FILED,2015-03-16,"(37.78069079640, -122.46470924800)"
N201107089769,4,2,0,0,3932 GEARY BL,1435017,BP FILED,2011-07-08,"(37.78144670620, -122.46167803900)"
N200704279893,2,2,0,0,106 BACHE ST,5826003,BP FILED,2007-04-27,"(37.73372244910, -122.41778798200)"
N200911302251,3,1,0,0,483 35TH AV,1467020,BP FILED,2009-11-30,"(37.77999754450, -122.49574260100)"
N201206041789,2,1,0,0,1411 CHURCH ST,6566027,BP FILED,2012-06-04,"(37.74825524100, -122.42678970200)"
N200811196948,2,1,0,0,2104 CASTRO ST,6611003,BP FILED,2008-11-19,"(37.74461658930, -122.43376641100)"
N201303293381,2,1,0,0,349 RICHLAND AV,5721077,BP FILED,2013-03-29,"(37.73591025550, -122.41844798900)"
N201009241613,2,1,0,0,1734 NEWCOMB AV,5305010,BP FILED,2010-09-24,"(37.73687961090, -122.39215623900)"
N201406259421,2,1,0,0,2224 SACRAMENTO ST,627006,BP FILED,2014-06-25,"(37.79057740690, -122.43032287100)"
N201003188484,1,1,0,0,3350 TARAVAL ST,2372024A,BP FILED,2010-03-18,"(37.74212536070, -122.50231775400)"
N201003107932,1,1,0,0,890 GROVE ST,797019,CONSTRUCTION,2014-05-27,"(37.77698096600, -122.43122769100)"
N201408123679,1,1,0,0,1370 PACIFIC AV,155021,BP FILED,2014-08-12,"(37.79568260090, -122.41776315400)"
N201408123674,1,1,0,0,1364 PACIFIC AV,155020,BP FILED,2014-08-12,"(37.79569077060, -122.41769908300)"
N200908034026,2,1,0,0,445 WALLER ST,867033,BP FILED,2009-08-03,"(37.77081966800, -122.43098809500)"
N200906160568,2,1,0,0,60 FOUNTAIN ST,6501010,BP FILED,2009-06-16,"(37.74990807190, -122.44190587500)"
N201004029551,2,1,0,0,1491 FUNSTON AV,1840015,BP FILED,2010-04-02,"(37.76032041170, -122.47067851500)"
