PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE,LOCATION
N201505085755,1,1,0,0,1 EDGAR AV,6978069,BP FILED,2015-05-08,"(37.72039399170, -122.45252132300)"
N200912032516,35,35,5,5,1 FRANKLIN ST,0837003,CONSTRUCTION,2016-06-16,"(37.77442891680, -122.42111019300)"
N201306250394,239,239,0,0,1 HENRY ADAMS ST,3911001,CONSTRUCTION,2016-04-07,"(37.76920143310, -122.40347298500)"
N201409247165,2,1,0,0,1 HORACE ST,6525001A,BP FILED,2014-09-24,"(37.75072284580, -122.41439795200)"
N200712140534,13,13,0,0,1 STANYAN ST,1084001B,BP ISSUED,2016-06-15,"(37.78107236200, -122.45652162400)"
N201507091034,2,2,0,0,10 TINGLEY ST,6800004,BP FILED,2015-07-09,"(37.72856383840, -122.43210261800)"
N201512175322,4,4,0,0,1010 STANYAN ST,1273017,BP FILED,2015-12-17,"(37.76523247810, -122.45242016600)"
N201507091106,5,1,0,0,100 TERRA VISTA AV,1104001,BP FILED,2015-07-09,"(37.78161352350, -122.44379214600)"
N201607122139,1,1,0,0,1000 - 1020 BROADWAY (BLDG 1 OF 3),0150054,BP FILED,2016-07-12,"(37.79721675930, -122.41381054100)"
N201607122132,1,1,0,0,1000 - 1020 BROADWAY (BLDG 2 OF 3),0150054,BP FILED,2016-07-12,"(37.79721675930, -122.41381054100)"
N201607122140,2,2,0,0,1000 - 1020 BROADWAY (BLDG 3 OF 3),0150054,BP FILED,2016-07-12,"(37.79721675930, -122.41381054100)"
N201407080708,2,1,0,0,1001 CHESTNUT ST,0069020,CONSTRUCTION,2016-06-10,"(37.80270803980, -122.42006518200)"
N200705010141,28,28,3,3,1004 MISSISSIPPI ST,4224015,BP ISSUED,2016-04-22,"(37.75361946390, -122.39404182300)"
N201306270692,85,85,10,10,101 HYDE ST,0346003A,BP FILED,2013-06-27,"(37.78180373590, -122.41589654900)"
N200705221925,4,3,0,0,101 LELAND AV,6250036,CONSTRUCTION,2016-01-21,"(37.71176606530, -122.40583053700)"
N201209109355,1,1,0,0,1014 GILMAN AV,4937018,CONSTRUCTION,2016-06-28,"(37.71853919680, -122.38823257200)"
N201506229512,2,2,0,0,1016 DE HARO ST,4159004,BP FILED,2015-06-22,"(37.75683223500, -122.40114884600)"
N201410290258,2,1,0,0,1019 KANSAS ST,4158060,BP FILED,2014-10-29,"(37.75675307630, -122.40246037800)"
N201411252470,3,1,0,0,102 BAKER ST,1219018,BP FILED,2014-11-25,"(37.77201728590, -122.44024946500)"
N201510200295,6,6,0,0,1032 PACIFIC AV,0158010,BP FILED,2015-10-20,"(37.79637055670, -122.41226344500)"
N201602018496,4,1,0,0,1033 - 1037 WASHINGTON ST,0212038,BP FILED,2016-02-01,"(37.79449877230, -122.41032449800)"
N201406269523,83,83,83,83,1036 - 1040 MISSION ST,3703079,BP ISSUED,2015-09-11,"(37.78058500840, -122.40978554900)"
N200705010119,2,2,0,0,1036 MISSISSIPPI ST,4224018,BP APPROVED,2009-12-01,"(37.75327718290, -122.39400858600)"
N201502138346,37,1,0,0,1036 POLK ST,0693015,BP ISSUED,2016-01-29,"(37.78660156370, -122.41963960700)"
N200706265226,2,2,0,0,104 BACHE ST,5826002,CONSTRUCTION,2014-10-03,"(37.73379094000, -122.41778190900)"
N201411242420,3,1,0,0,1044 JACKSON ST,0181013,BP ISSUED,2016-05-23,"(37.79545860920, -122.41228593200)"
N201512023975,2,1,0,0,1050 GILMAN AV,4937006A,BP FILED,2015-12-02,"(37.71904482980, -122.38903715900)"
N201012277437,15,15,0,0,1050 VALENCIA ST,3617008,CONSTRUCTION,2016-02-12,"(37.75594399060, -122.42131765200)"
N201307313282,1,1,0,0,1055 ASHBURY ST,1269167,CONSTRUCTION,2016-03-23,"(37.76369221200, -122.44673806300)"
N201512316217,2,2,0,0,1058 MISSISSIPPI ST,4224022,BP FILED,2015-12-31,"(37.75300335850, -122.39398199600)"
N201406128212,304,304,0,0,1066 MARKET ST,0350003,PL APPROVED,2016-03-17,"(37.78179900670, -122.41174159100)"
