PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN
N201304023626,409,409,0,0,280 BEALE ST,3738004
N201212216752,190,190,167,167,1400 MISSION ST,3507039
N201303283325,3,1,0,0,564 FELL ST,0819011
N201105256770,10,10,0,0,140 09TH ST,3509005
N201202295146,9,9,0,0,421 HUDSON AV,4591C068
N201202295147,9,9,0,0,451 HUDSON AV,4591C045
N201207265893,4,4,0,0,3820 24TH STREET,3651017
N201303071701,6,4,0,0,327 BALBOA ST,1640051
N201311071427,2,2,0,0,851 CORBETT AV,2778013
N201303222896,4,2,0,0,1022 PIERCE ST,0754012
N200507137493,2,2,0,0,1665 PALOU AV,5327038
N200703126040,2,2,0,0,476 LINDEN ST,0818020
N200605091174,3,1,0,0,279 26TH AV,1386015
N201304184893,1,1,0,0,2451 19TH AV,2406037
N201112120494,2,1,0,0,4372 25TH ST,6540021
N201007015845,2,1,0,0,500 CAPP ST,3610032
N201103303154,2,1,0,0,10 LUNDYS LN,5610029A
N201412304734,2,1,0,0,2670 21ST AV,2476034
N200904025465,1,1,0,0,1235 40TH AV,1710006
N200701101393,1,1,0,0,107 24TH AV,1334040
N201312093701,2,1,0,0,22 FAIRMOUNT ST,6662007
N201504103396,2,1,0,0,414 SOMERSET ST,6044003
N201408295044,2,1,0,0,2050 43RD AV,2162031
N201409116103,2,1,0,0,1901 17TH AV,2117001
