PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN
N200912032516,35,35,5,5,1 FRANKLIN ST,0837003
N201207104447,98,98,98,98,1100 GOLDEN GATE AV,0757025
N201301087514,2,1,0,0,1325 OCEAN AV,6942054
N201411212191,2,1,0,0,1477 26TH AV,1827013A
N201502239095,1,1,0,0,1625 OAK ST,1223003
N201311041047,4,4,0,0,1631 MCALLISTER ST,1179024A
N201312184508,260,260,31,31,1634 - 1690 PINE ST,0647007
N201409237117,4,4,0,0,1656 POST ST,0686040
N201110146866,2,1,0,0,166 WINFIELD ST,5617014
N201508275396,2,1,0,0,1788 SILVER AV,5396001D
N201310119174,2,1,0,0,1823 TURK ST (CHURCH),1153020
N201310250236,2,2,0,0,5670 MISSION ST,7099009
N201306068799,1,1,0,0,2127 CASTRO ST,6612026
N201509156951,2,1,0,0,2225 BAY ST,0927036
N201311273026,3,1,0,0,2356 BRYANT ST,4145012
N201508214997,2,1,0,0,239 MAYNARD ST,5890010
N201506158935,2,1,0,0,2446 19TH AV,2407021
N201210011010,3,1,0,0,2830 22ND ST,4146019
N201306189882,3,1,0,0,3643 19TH ST,3598068
N201503241678,2,1,0,0,428 GROVE ST,0793009
N201306260573,41,41,5,5,450 HAYES ST,0808039
N200507208144,25,12,0,0,468 CLEMENTINA ST,3732071
N201306250465,84,77,11,11,480 POTRERO AV,3973002C
N201305036140,6,6,0,0,5 HALLAM ST,3755096
N201312124038,12,12,0,0,520 09TH ST,3526005
N201209059006,450,191,23,23,55 LAGUNA ST (BLDG 2),0857001
N201506290179,3,1,0,0,609 HAIGHT ST,0861034
N201405135633,2,1,0,0,668 23RD AV,1622025
N201407141153,3,1,0,0,72 CASELLI AV,2691019
N201111078462,3,3,0,0,827 NORTH POINT ST,0026030
N201406138386,27,20,2,2,832 SUTTER ST,0281003
N201206112282,2,2,0,0,930 SHOTWELL ST,3641076
N201505206839,2,1,0,0,931 SILVER AV,5864009
N201207124725,80,80,0,0,LUMINA (PLAZA C),3746001
