PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE,LOCATION
N201207124717,806,806,0,0,201 FOLSOM ST,3746001,CONSTRUCTION,2015-03-30,"(37.789186000000001, -122.391823)"
N201308093997,722,2,0,0,515 JOHN MUIR DR,7282005,CONSTRUCTION,2014-10-21,"(37.714910000000003, -122.493222)"
N201412234418,603,603,0,0,245 01ST ST,3737012,BP FILED,2014-12-23,"(37.787900112000003, -122.39459403799999)"
N201306250394,560,560,0,0,1 HENRY ADAMS ST,3911001,CONSTRUCTION,2015-03-24,"(37.769666000000001, -122.40386599999999)"
N201309045886,557,557,0,0,801 BRANNAN ST,3783001,BP ISSUED,2014-09-26,"(37.772950000000002, -122.40322399999999)"
N201304023626,479,479,0,0,280 BEALE ST,3738004,CONSTRUCTION,2015-03-25,"(37.788879600000001, -122.3929894)"
N201112070227,450,450,0,0,1000 16TH ST,3833001,CONSTRUCTION,2012-09-07,"(37.766489999999997, -122.39698799999999)"
N200605161774,447,447,0,0,399 FREMONT ST,3747320,CONSTRUCTION,2015-03-26,"(37.7868171, -122.3920976)"
N201404304554,418,418,0,0,57 TEHAMA ST,3736078A,BP FILED,2014-04-30,"(37.787039, -122.396591)"
N201307303137,416,416,0,0,350 08TH ST,3756003,CONSTRUCTION,2015-03-17,"(37.773693999999999, -122.40965799999999)"
N201208026344,399,399,0,0,100 VAN NESS AV,814020,CONSTRUCTION,2015-03-30,"(37.776427900000002, -122.4194191)"
N201212246822,263,263,0,0,718 LONG BRIDGE ST,8710007,CONSTRUCTION,2015-03-30,"(37.773372999999999, -122.3915696)"
N201312174382,351,351,0,0,1979 MISSION ST,3553052,BP FILED,2013-12-17,"(37.765355999999997, -122.419702)"
N201009140800,305,305,0,0,45 LANSING ST,3749059,CONSTRUCTION,2015-03-26,"(37.786042000000002, -122.39385900000001)"
N201312234917,300,300,0,0,1201-1225 TENNESSEE STREET,4172022,BP ISSUED,2015-04-01,"(37.755927999999997, -122.388603)"
N201211073775,271,271,0,30,5800 03RD ST,5431A001,CONSTRUCTION,2015-03-30,"(37.725430000000003, -122.39448299999999)"
N201306280802,220,220,0,0,250 4TH ST,3733008,BP ISSUED,2014-09-12,"(37.782449, -122.401973)"
N201209119428,210,210,0,0,800 BROTHERHOOD WAY,7331003,CONSTRUCTION,2012-09-11,"(37.714747000000003, -122.47841)"
N201409116118,202,202,0,0,1095 MARKET ST,3703059,BP FILED,2014-09-11,"(37.780520000000003, -122.412273)"
N201209059006,191,191,160,160,218 BUCHANAN ST,857001A,CONSTRUCTION,2015-03-19,"(37.772350000000003, -122.42627899999999)"
N201212216752,190,190,190,190,1420 MISSION ST,3507039,CONSTRUCTION,2015-03-03,"(37.775094600000003, -122.4162006)"
N201210051462,182,182,0,0,MARKET OCTAVIA - PARCEL P,831023,CONSTRUCTION,2014-12-31,"(37.774762299999999, -122.4259404)"
N201203196326,182,182,0,0,240 05TH ST,3732150,BP ISSUED,2012-08-27,"(37.780956799999998, -122.4042771)"
