PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE,LOCATION
N201409237117,4,4,0,0,1656 Post St,686040,BP Filed,2014-09-23,"(37.785772000000001, -122.428996)"
N200905289263,2,1,0,0,473 11th Av,1533017,BP Filed,2009-05-28,"(37.779254999999999, -122.46985100000001)"
N201210313210,9,9,0,0,1469 Pacific Av,185029,PL Filed,2013-07-10,"(37.795060900000003, -122.419425)"
N200707066144,2,1,0,0,623 40th Av,1583006,BP Filed,2007-07-06,"(37.776931599999998, -122.5007825)"
N201011295645,1,1,0,0,721 Beach St,25017,CONSTRUCTION,2014-09-24,"(37.806527500000001, -122.4210125)"
N201306149565,20,20,0,0,1255- 1275 Columbus Av,28014,BP ISSUED,2014-04-22,"(37.805774599999999, -122.4181777)"
N200712170659,2,2,0,0,377 Bay St,41039,BP Filed,2007-12-17,"(37.805585200000003, -122.4131654)"
N200809262740,2,1,0,0,2626 Larkin St,69011,CONSTRUCTION,2014-07-09,"(37.802238000000003, -122.42105100000001)"
N200812319407,3,2,0,0,30 Edith St,77004,BP REINSTATED,2014-06-06,"(37.802836399999997, -122.4085997)"
N200908124639,19,18,0,0,1741 Powell St,101004,BP APPROVED,2012-11-02,"(37.800766600000003, -122.41099060000001)"
N200709193055,3,1,0,0,1812 Taylor St,119025,BP ISSUED,2011-07-13,"(37.799124599999999, -122.4138928)"
N200809040762,2,1,0,0,762 37th Av,1608012,BP Filed,2008-09-04,"(37.774555900000003, -122.496908)"
N201105166063,75,75,0,0,235 Broadway,165021,CONSTRUCTION,2014-09-19,"(37.798507499999999, -122.4016044)"
N201301238536,65,65,0,0,620 Sutter St,283004A,BP Filed,2013-01-23,"(37.789091800000001, -122.41055110000001)"
N200912243842,17,1,0,0,693 Sutter St,297009,CONSTRUCTION,2013-01-03,"(37.788662899999999, -122.41164759999999)"
N200712311569,50,4,0,0,875 Post St,303014,BP ISSUED,2012-07-20,"(37.787210399999999, -122.41626650000001)"
N200808058406,9,9,0,0,436 Ofarrell St,317005,BP Filed,2008-08-05,"(37.786133399999997, -122.412012)"
N200605232239,9,9,0,0,130 Turk St,339006,CONSTRUCTION,2013-11-04,"(37.783413000000003, -122.411457)"
N200801172733,1,1,0,0,3342 Steiner St,491020,BP Filed,2008-01-17,"(37.799483600000002, -122.43784119999999)"
N201012307679,2,2,0,0,857 Alabama St,4085026,CONSTRUCTION,2012-11-02,"(37.758215, -122.411297)"
N201106017181,27,27,0,0,2559 Van Ness Av,527002,CONSTRUCTION,2014-09-12,"(37.799210000000002, -122.424482)"
N200706255058,7,4,0,0,1662-1664 Union St.,528008,BP Filed,2007-06-25,"(37.798317900000001, -122.4266607)"
N200707025741,2,1,0,0,2237 Polk St,550004,BP Filed,2007-07-02,"(37.797485999999999, -122.422348)"
N200602215057,35,35,0,0,1860 Van Ness Av,619012,CONSTRUCTION,2014-09-29,"(37.792910900000003, -122.422414)"
N201312033256,107,107,0,0,1545 Pine St,667016,BP Filed,2013-12-03,"(37.789451800000002, -122.4212491)"
N200809252660,69,69,0,0,1450 Franklin St,671006,CONSTRUCTION,2014-03-04,"(37.787930600000003, -122.423451)"
N201211093966,81,81,0,0,2655 Bush St,1052024,CONSTRUCTION,2014-09-24,"(37.785820999999999, -122.44077)"
N201407292390,2,1,0,0,112 12th Av,1371039,BP Filed,2014-07-29,"(37.785892599999997, -122.4709388)"
N201207104447,98,98,0,0,1100 Golden Gate Av,757025,BP ISSUED,2013-06-26,"(37.780004699999999, -122.428684)"
N201312093685,29,29,0,0,580 Hayes St,807010,BP Filed,2013-12-09,"(37.776676999999999, -122.42622780000001)"
N200703126040,2,2,0,0,476 Linden St,818020,BP ISSUED,2012-08-30,"(37.776086599999999, -122.42574140000001)"
