PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN
N201505146405,3,1,0,0,1221 14TH AV,1736061
N201506249835,2,1,0,0,2082 BANCROFT AV,5403035
N201206253387,2,1,0,0,4546 19TH ST,2700012
N201408295126,2,1,0,0,1267 NOE ST,6553024
N201505085803,3,1,0,0,1333 42ND AV,1797006
N201309197251,2,1,0,0,1433 48TH AV,1805006
N201302150317,3,3,0,0,1470 MCALLISTER ST,0776035
N201502249184,3,1,0,0,1594 GOLDEN GATE AV,0753010
N200609253193,1,1,0,0,191 BREWSTER ST,5577011
N201409307715,2,1,0,0,1822 22ND AV,2058009J
N200609253191,3,3,0,0,195 BREWSTER ST,5577009
N200609253192,1,1,0,0,193 BREWSTER ST,5577010
N201503090303,2,1,0,0,2219 31ST AV,2318005
N201401297354,21,21,0,0,2353 - 2347 LOMBARD ST,0512026
N201310038371,3,1,0,0,238 MISSOURI ST,4003006
N201305167075,8,8,0,0,259 CLARA ST,3753042
N201211093966,84,84,0,0,2655 BUSH ST,1052024
N201303041387,4,4,0,0,270 CAPITOL AV,7113022
N201401166475,91,91,0,0,2700 ARELIOUS WALKER DR,4884027
N201410249901,5,2,0,0,3215 SCOTT ST,0936020
N201412053178,3,1,0,0,322 COLERIDGE ST,5673003
N201003248891,3,2,0,0,3249 17TH ST,3575063
N201503039806,2,1,0,0,3303 FOLSOM ST,5524044
N201602099198,4,0,0,0,3378 SACRAMENTO ST,1008047
N201412304716,2,1,0,0,350 15TH AV,1446038
N201311202405,72,72,11,11,346 POTRERO AV,3962008
N201312265046,129,129,0,0,360 BERRY ST,8704004
N201401176600,2,1,0,0,413 SHRADER ST,1227003
N201412083275,2,1,0,0,4400 25TH ST,6504017
N201407171522,2,1,0,0,466 VERNON ST,6994039
N201507222207,2,1,0,0,49 NAGLEE AV,7098001
N201410068159,2,1,0,0,601 29TH ST,7537001
N201512185544,3,1,0,0,658 ELIZABETH ST,2804017
N201305217457,12,12,1,1,690 PAGE ST,0843016
N201405296933,6,2,0,0,716 CLEMENTINA ST,3729042
N201401317585,1,1,0,0,74 BLAKE ST,1068004
N201211284953,28,28,11,11,ONE CAPITOL AV,7148040
N201112070227,470,470,0,0,POTRERO1010 (BLDG 1 OF 2),3833001
N201306250394,560,560,0,0,1 HENRY ADAMS ST,3911001
N200705221925,4,3,0,0,101 LELAND AV,6250036
N201409116118,202,202,0,0,1095 MARKET ST,3703059
