PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE,LOCATION
N201503029743,2,1,0,0,868 DUNCAN ST,7518081,BP FILED,2015-03-02,"(37.74560302020, -122.43923195300)"
N201207124717,669,669,0,0,201 FOLSOM ST,3746001,CONSTRUCTION,2016-01-06,"(37.78841302600, -122.39151585000)"
N201412234418,603,603,0,0,245 01ST ST,3737012,BP ISSUED,2015-12-10,"(37.78790011200, -122.39459403900)"
N201306250394,560,560,0,0,1 HENRY ADAMS ST,3911001,CONSTRUCTION,2015-12-23,"(37.76920143310, -122.40347298500)"
N201309045886,557,557,55,55,801 BRANNAN ST,3783001,CONSTRUCTION,2016-01-14,"(37.77182385610, -122.40388263300)"
N201209069080,550,550,83,83,"TRINITY PLAZA, PHASE III",3702391,CONSTRUCTION,2015-12-21,"(37.77792576790, -122.41301348400)"
N201503110506,545,545,0,0,TRANSBAY BLOCK 9,3736120,BP FILED,2015-03-11,"(37.78720355450, -122.39510677100)"
N201511203265,501,501,74,74,"TRINITY PLAZA, PHASE IV",3702308,PL APPROVED,2015-11-20,"(37.77844093530, -122.41347916200)"
N201112070227,470,470,94,94,1000 16TH ST,3833001,CONSTRUCTION,2015-12-24,"(37.76710834150, -122.39659516800)"
N200605161774,452,452,0,0,399 FREMONT ST,3747320,CONSTRUCTION,2016-01-07,"(37.78732243240, -122.39222370700)"
N201209059006,450,450,160,160,55 LAGUNA ST,0857001,CONSTRUCTION,2016-01-14,"(37.77234985470, -122.42627864400)"
N201307303137,410,410,62,62,350 08TH ST,3756003,CONSTRUCTION,2015-11-02,"(37.77369416470, -122.40965844200)"
N201404304554,403,403,0,0,57 TEHAMA ST,3736078A,CONSTRUCTION,2015-12-31,"(37.78739474860, -122.39609331300)"
N201507272485,143,143,0,0,1300 04TH ST,8711021,BP FILED,2015-07-27,"(37.77140195950, -122.39177164800)"
N201406259481,390,390,141,141,TRANSBAY BLOCK 1,3740030,BP FILED,2014-06-25,"(37.78973655000, -122.39175327300)"
N201208036505,355,355,0,0,340 FREMONT ST,3748006,BP FILED,2012-08-03,"(37.78711960580, -122.39323121600)"
N201312174382,351,351,0,0,1979 MISSION ST,3553052,BP FILED,2013-12-17,"(37.76558137550, -122.41912307000)"
N201511092111,313,313,0,0,"PARKMERCED, PHASE I",7330001,BP FILED,2015-11-09,"(37.71373569250, -122.47204319800)"
N201510260810,299,299,0,0,"PARKMERCED, PHASE I",7326001,BP FILED,2015-10-26,"(37.71602945580, -122.47317010600)"
N201406239109,274,271,0,0,2070 BRYANT ST,4022001,PL FILED,2014-06-12,"(37.76149953700, -122.41058133000)"
N201212246822,263,263,0,0,718 LONG BRIDGE ST,8710007,CONSTRUCTION,2016-01-08,"(37.77180553880, -122.39418697800)"
